sub_id,trial_type,prop_trials_chose_alc,prop_trials_chose_cig,prop_trials_chose_neu,neu_avg_looking_time,neu_avg_prop_time,cig_avg_looking_time,cig_avg_prop_time,alc_avg_looking_time,alc_avg_prop_time,avg_rt,chose_alc_neu_avg_looking_time,chose_alc_neu_avg_prop_time,chose_alc_cig_avg_looking_time,chose_alc_cig_avg_prop_time,chose_alc_alc_avg_looking_time,chose_alc_alc_avg_prop_time,chose_alc_avg_rt,chose_cig_neu_avg_looking_time,chose_cig_neu_avg_prop_time,chose_cig_cig_avg_looking_time,chose_cig_cig_avg_prop_time,chose_cig_alc_avg_looking_time,chose_cig_alc_avg_prop_time,chose_cig_avg_rt,chose_neu_neu_avg_looking_time,chose_neu_neu_avg_prop_time,chose_neu_cig_avg_looking_time,chose_neu_cig_avg_prop_time,chose_neu_alc_avg_looking_time,chose_neu_alc_avg_prop_time,chose_neu_avg_rt
cret03,agg_all_trials,0.524590163934,0.295081967213,0.180327868852,200.606557377,0.254580092475,362.37704918,0.464611510611,238.754098361,0.280808396914,1279.64197279,163.5625,0.192737208158,122.28125,0.169435705552,462.28125,0.63782708629,1363.12672021,181.5,0.207000747251,424.555555556,0.485291119916,289.0,0.307708132833,1258.60556242,339.636363636,0.512343775397,273.545454545,0.270193588694,191.818181818,0.21746263591,1071.20047001
cret04,agg_all_trials,0.644295302013,0.322147651007,0.0335570469799,127.053691275,0.140830122631,391.563758389,0.61512719755,198.469798658,0.244042679819,900.407387285,73.2395833333,0.0969494819977,126.6875,0.172556959819,417.09375,0.730493558184,789.066570944,210.395833333,0.216277230259,325.229166667,0.38625693677,327.125,0.397465832971,1066.10922069,360.2,0.259046189561,359.8,0.251311637095,520.0,0.489642173344,1447.41346037
cret05,agg_all_trials,0.609271523179,0.291390728477,0.0993377483444,202.509933775,0.207735793799,401.178807947,0.51206777958,238.033112583,0.280196426622,1033.80672429,159.913043478,0.16565541666,168.391304348,0.225502889579,438.010869565,0.608841693761,943.898557804,206.977272727,0.235926275293,301.772727273,0.379332060068,303.977272727,0.384741664639,1030.06320572,450.666666667,0.383136694531,478.2,0.324852262375,460.4,0.292011043094,1596.22446655
cret06,agg_all_trials,0.961538461538,0.0384615384615,0.0,13.4615384615,0.0284965609197,260.653846154,0.838404477432,45.3205128205,0.133098961648,530.476898018,14.0,0.0296364233565,42.0533333333,0.11720595836,266.773333333,0.853157618283,531.194363136,0.0,0.0,127.0,0.530424043838,107.666666667,0.469575956162,512.540270067,,,,,,,
cret07,agg_all_trials,0.496124031008,0.317829457364,0.186046511628,285.868217054,0.248548016412,502.333333333,0.428742854632,381.76744186,0.322709128956,1276.06372374,274.078125,0.216268342563,316.796875,0.241761793298,615.34375,0.541969864139,1311.31583024,266.317073171,0.234284736667,547.926829268,0.482130074702,374.902439024,0.283585188631,1303.39060679,350.708333333,0.358993582907,271.166666667,0.266224575058,418.666666667,0.374781842034,1135.3746812
cret08,agg_all_trials,0.0,0.992957746479,0.00704225352113,178.76056338,0.126694599685,393.049295775,0.263671509687,653.323943662,0.609633890628,1448.24923713,,,,,,,,172.460992908,0.124405537265,651.822695035,0.611373393804,392.70212766,0.264221068931,1440.30266661,1067.0,0.449452401011,865.0,0.364363942713,442.0,0.186183656276,2568.71568092
cret09,agg_all_trials,0.0,1.0,0.0,66.5087719298,0.111808447301,72.8596491228,0.106815694499,411.271929825,0.781375858201,804.977159921,,,,,,,,66.5087719298,0.111808447301,411.271929825,0.781375858201,72.8596491228,0.106815694499,804.977159921,,,,,,,
cret10,agg_all_trials,0.412213740458,0.374045801527,0.213740458015,163.282442748,0.240361964308,285.20610687,0.395818996451,238.312977099,0.363819039241,807.277281448,124.148148148,0.127318611093,102.814814815,0.119763162124,534.62962963,0.752918226783,869.188324754,79.387755102,0.105672666234,459.081632653,0.741148965897,120.183673469,0.153178367869,773.05959493,385.571428571,0.694080417139,113.285714286,0.174170859176,92.9642857143,0.131748723685,747.758363623
cret11,agg_all_trials,0.405797101449,0.260869565217,0.333333333333,154.246376812,0.242941873638,281.557971014,0.41877069337,211.84057971,0.338287432992,1021.61043372,100.410714286,0.125409924893,146.0,0.216281892271,382.339285714,0.658308182835,957.51455097,110.888888889,0.15764861433,375.75,0.565946962386,260.416666667,0.276404423285,1111.74518871,253.717391304,0.452775492437,163.717391304,0.308647589997,175.413043478,0.238576917565,1029.099961
cret14,agg_all_trials,0.308270676692,0.684210526316,0.00751879699248,175.233082707,0.207029827818,334.308270677,0.397141465639,276.330827068,0.395828706543,1000.88379993,266.512195122,0.246134843781,289.0,0.271104699518,521.780487805,0.482760456701,1298.27869299,136.032967033,0.191686137416,265.835164835,0.445383794395,253.516483516,0.362930068189,867.764331402,0.0,0.0,712.0,1.0,0.0,0.0,921.564820109
