sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,2.0,cigarette,alcohol,693.0,2.0,0.0,0.0
1.0,2.0,cigarette,cigarette,693.0,2.0,1.0,0.5
1.0,2.0,cigarette,neutral,693.0,2.0,1.0,0.5
2.0,2.0,cigarette,alcohol,693.0,11.0,3.0,0.272727272727
2.0,2.0,cigarette,cigarette,693.0,11.0,5.0,0.454545454545
2.0,2.0,cigarette,neutral,693.0,11.0,3.0,0.272727272727
3.0,2.0,cigarette,alcohol,693.0,10.0,4.0,0.4
3.0,2.0,cigarette,cigarette,693.0,10.0,4.0,0.4
3.0,2.0,cigarette,neutral,693.0,10.0,2.0,0.2
4.0,2.0,cigarette,alcohol,693.0,0.0,0.0,
4.0,2.0,cigarette,cigarette,693.0,0.0,0.0,
4.0,2.0,cigarette,neutral,693.0,0.0,0.0,
5.0,2.0,cigarette,alcohol,693.0,2.0,1.0,0.5
5.0,2.0,cigarette,cigarette,693.0,2.0,1.0,0.5
5.0,2.0,cigarette,neutral,693.0,2.0,0.0,0.0
6.0,2.0,cigarette,alcohol,693.0,17.0,9.0,0.529411764706
6.0,2.0,cigarette,cigarette,693.0,17.0,6.0,0.352941176471
6.0,2.0,cigarette,neutral,693.0,17.0,2.0,0.117647058824
7.0,2.0,cigarette,alcohol,693.0,1.0,1.0,1.0
7.0,2.0,cigarette,cigarette,693.0,1.0,0.0,0.0
7.0,2.0,cigarette,neutral,693.0,1.0,0.0,0.0
8.0,2.0,cigarette,alcohol,693.0,1.0,0.0,0.0
8.0,2.0,cigarette,cigarette,693.0,1.0,1.0,1.0
8.0,2.0,cigarette,neutral,693.0,1.0,0.0,0.0
9.0,2.0,cigarette,alcohol,693.0,8.0,4.0,0.5
9.0,2.0,cigarette,cigarette,693.0,8.0,4.0,0.5
9.0,2.0,cigarette,neutral,693.0,8.0,0.0,0.0
10.0,2.0,cigarette,alcohol,693.0,11.0,6.0,0.545454545455
10.0,2.0,cigarette,cigarette,693.0,11.0,1.0,0.0909090909091
10.0,2.0,cigarette,neutral,693.0,11.0,4.0,0.363636363636
11.0,2.0,cigarette,alcohol,693.0,27.0,16.0,0.592592592593
11.0,2.0,cigarette,cigarette,693.0,27.0,11.0,0.407407407407
11.0,2.0,cigarette,neutral,693.0,27.0,0.0,0.0
12.0,2.0,cigarette,alcohol,693.0,3.0,3.0,1.0
12.0,2.0,cigarette,cigarette,693.0,3.0,0.0,0.0
12.0,2.0,cigarette,neutral,693.0,3.0,0.0,0.0
13.0,2.0,cigarette,alcohol,693.0,7.0,1.0,0.142857142857
13.0,2.0,cigarette,cigarette,693.0,7.0,4.0,0.571428571429
13.0,2.0,cigarette,neutral,693.0,7.0,2.0,0.285714285714
14.0,2.0,cigarette,alcohol,693.0,9.0,5.0,0.555555555556
14.0,2.0,cigarette,cigarette,693.0,9.0,1.0,0.111111111111
14.0,2.0,cigarette,neutral,693.0,9.0,3.0,0.333333333333
15.0,2.0,cigarette,alcohol,693.0,0.0,0.0,
15.0,2.0,cigarette,cigarette,693.0,0.0,0.0,
15.0,2.0,cigarette,neutral,693.0,0.0,0.0,
16.0,2.0,cigarette,alcohol,693.0,2.0,0.0,0.0
16.0,2.0,cigarette,cigarette,693.0,2.0,0.0,0.0
16.0,2.0,cigarette,neutral,693.0,2.0,2.0,1.0
17.0,2.0,cigarette,alcohol,693.0,3.0,0.0,0.0
17.0,2.0,cigarette,cigarette,693.0,3.0,3.0,1.0
17.0,2.0,cigarette,neutral,693.0,3.0,0.0,0.0
18.0,2.0,cigarette,alcohol,693.0,2.0,2.0,1.0
18.0,2.0,cigarette,cigarette,693.0,2.0,0.0,0.0
18.0,2.0,cigarette,neutral,693.0,2.0,0.0,0.0
19.0,2.0,cigarette,alcohol,693.0,14.0,5.0,0.357142857143
19.0,2.0,cigarette,cigarette,693.0,14.0,9.0,0.642857142857
19.0,2.0,cigarette,neutral,693.0,14.0,0.0,0.0
20.0,2.0,cigarette,alcohol,693.0,14.0,7.0,0.5
20.0,2.0,cigarette,cigarette,693.0,14.0,3.0,0.214285714286
20.0,2.0,cigarette,neutral,693.0,14.0,4.0,0.285714285714
21.0,2.0,cigarette,alcohol,693.0,2.0,0.0,0.0
21.0,2.0,cigarette,cigarette,693.0,2.0,1.0,0.5
21.0,2.0,cigarette,neutral,693.0,2.0,1.0,0.5
22.0,2.0,cigarette,alcohol,693.0,5.0,0.0,0.0
22.0,2.0,cigarette,cigarette,693.0,5.0,4.0,0.8
22.0,2.0,cigarette,neutral,693.0,5.0,1.0,0.2
23.0,2.0,cigarette,alcohol,693.0,2.0,1.0,0.5
23.0,2.0,cigarette,cigarette,693.0,2.0,1.0,0.5
23.0,2.0,cigarette,neutral,693.0,2.0,0.0,0.0
24.0,2.0,cigarette,alcohol,693.0,3.0,2.0,0.666666666667
24.0,2.0,cigarette,cigarette,693.0,3.0,1.0,0.333333333333
24.0,2.0,cigarette,neutral,693.0,3.0,0.0,0.0
25.0,2.0,cigarette,alcohol,693.0,7.0,2.0,0.285714285714
25.0,2.0,cigarette,cigarette,693.0,7.0,2.0,0.285714285714
25.0,2.0,cigarette,neutral,693.0,7.0,3.0,0.428571428571
26.0,2.0,cigarette,alcohol,693.0,2.0,1.0,0.5
26.0,2.0,cigarette,cigarette,693.0,2.0,0.0,0.0
26.0,2.0,cigarette,neutral,693.0,2.0,1.0,0.5
27.0,2.0,cigarette,alcohol,693.0,10.0,5.0,0.5
27.0,2.0,cigarette,cigarette,693.0,10.0,3.0,0.3
27.0,2.0,cigarette,neutral,693.0,10.0,2.0,0.2
28.0,2.0,cigarette,alcohol,693.0,8.0,2.0,0.25
28.0,2.0,cigarette,cigarette,693.0,8.0,1.0,0.125
28.0,2.0,cigarette,neutral,693.0,8.0,5.0,0.625
29.0,2.0,cigarette,alcohol,693.0,12.0,10.0,0.833333333333
29.0,2.0,cigarette,cigarette,693.0,12.0,0.0,0.0
29.0,2.0,cigarette,neutral,693.0,12.0,2.0,0.166666666667
1.0,2.0,alcohol,alcohol,693.0,0.0,0.0,
1.0,2.0,alcohol,cigarette,693.0,0.0,0.0,
1.0,2.0,alcohol,neutral,693.0,0.0,0.0,
2.0,2.0,alcohol,alcohol,693.0,0.0,0.0,
2.0,2.0,alcohol,cigarette,693.0,0.0,0.0,
2.0,2.0,alcohol,neutral,693.0,0.0,0.0,
3.0,2.0,alcohol,alcohol,693.0,6.0,5.0,0.833333333333
3.0,2.0,alcohol,cigarette,693.0,6.0,0.0,0.0
3.0,2.0,alcohol,neutral,693.0,6.0,1.0,0.166666666667
4.0,2.0,alcohol,alcohol,693.0,0.0,0.0,
4.0,2.0,alcohol,cigarette,693.0,0.0,0.0,
4.0,2.0,alcohol,neutral,693.0,0.0,0.0,
5.0,2.0,alcohol,alcohol,693.0,5.0,3.0,0.6
5.0,2.0,alcohol,cigarette,693.0,5.0,0.0,0.0
5.0,2.0,alcohol,neutral,693.0,5.0,2.0,0.4
6.0,2.0,alcohol,alcohol,693.0,0.0,0.0,
6.0,2.0,alcohol,cigarette,693.0,0.0,0.0,
6.0,2.0,alcohol,neutral,693.0,0.0,0.0,
7.0,2.0,alcohol,alcohol,693.0,0.0,0.0,
7.0,2.0,alcohol,cigarette,693.0,0.0,0.0,
7.0,2.0,alcohol,neutral,693.0,0.0,0.0,
8.0,2.0,alcohol,alcohol,693.0,9.0,8.0,0.888888888889
8.0,2.0,alcohol,cigarette,693.0,9.0,0.0,0.0
8.0,2.0,alcohol,neutral,693.0,9.0,1.0,0.111111111111
9.0,2.0,alcohol,alcohol,693.0,2.0,2.0,1.0
9.0,2.0,alcohol,cigarette,693.0,2.0,0.0,0.0
9.0,2.0,alcohol,neutral,693.0,2.0,0.0,0.0
10.0,2.0,alcohol,alcohol,693.0,0.0,0.0,
10.0,2.0,alcohol,cigarette,693.0,0.0,0.0,
10.0,2.0,alcohol,neutral,693.0,0.0,0.0,
11.0,2.0,alcohol,alcohol,693.0,1.0,0.0,0.0
11.0,2.0,alcohol,cigarette,693.0,1.0,1.0,1.0
11.0,2.0,alcohol,neutral,693.0,1.0,0.0,0.0
12.0,2.0,alcohol,alcohol,693.0,0.0,0.0,
12.0,2.0,alcohol,cigarette,693.0,0.0,0.0,
12.0,2.0,alcohol,neutral,693.0,0.0,0.0,
13.0,2.0,alcohol,alcohol,693.0,0.0,0.0,
13.0,2.0,alcohol,cigarette,693.0,0.0,0.0,
13.0,2.0,alcohol,neutral,693.0,0.0,0.0,
14.0,2.0,alcohol,alcohol,693.0,7.0,6.0,0.857142857143
14.0,2.0,alcohol,cigarette,693.0,7.0,1.0,0.142857142857
14.0,2.0,alcohol,neutral,693.0,7.0,0.0,0.0
