sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,cigarette,alcohol,203.0,3.0,0.0,0.0
1.0,1.0,cigarette,cigarette,203.0,3.0,2.0,0.666666666667
1.0,1.0,cigarette,neutral,203.0,3.0,1.0,0.333333333333
2.0,1.0,cigarette,alcohol,203.0,8.0,4.0,0.5
2.0,1.0,cigarette,cigarette,203.0,8.0,4.0,0.5
2.0,1.0,cigarette,neutral,203.0,8.0,0.0,0.0
3.0,1.0,cigarette,alcohol,203.0,20.0,7.0,0.35
3.0,1.0,cigarette,cigarette,203.0,20.0,10.0,0.5
3.0,1.0,cigarette,neutral,203.0,20.0,3.0,0.15
4.0,1.0,cigarette,alcohol,203.0,3.0,2.0,0.666666666667
4.0,1.0,cigarette,cigarette,203.0,3.0,1.0,0.333333333333
4.0,1.0,cigarette,neutral,203.0,3.0,0.0,0.0
5.0,1.0,cigarette,alcohol,203.0,7.0,4.0,0.571428571429
5.0,1.0,cigarette,cigarette,203.0,7.0,3.0,0.428571428571
5.0,1.0,cigarette,neutral,203.0,7.0,0.0,0.0
6.0,1.0,cigarette,alcohol,203.0,45.0,11.0,0.244444444444
6.0,1.0,cigarette,cigarette,203.0,45.0,32.0,0.711111111111
6.0,1.0,cigarette,neutral,203.0,45.0,2.0,0.0444444444444
7.0,1.0,cigarette,alcohol,203.0,24.0,0.0,0.0
7.0,1.0,cigarette,cigarette,203.0,24.0,23.0,0.958333333333
7.0,1.0,cigarette,neutral,203.0,24.0,1.0,0.0416666666667
8.0,1.0,cigarette,alcohol,203.0,14.0,2.0,0.142857142857
8.0,1.0,cigarette,cigarette,203.0,14.0,11.0,0.785714285714
8.0,1.0,cigarette,neutral,203.0,14.0,1.0,0.0714285714286
9.0,1.0,cigarette,alcohol,203.0,11.0,1.0,0.0909090909091
9.0,1.0,cigarette,cigarette,203.0,11.0,8.0,0.727272727273
9.0,1.0,cigarette,neutral,203.0,11.0,2.0,0.181818181818
10.0,1.0,cigarette,alcohol,203.0,52.0,12.0,0.230769230769
10.0,1.0,cigarette,cigarette,203.0,52.0,36.0,0.692307692308
10.0,1.0,cigarette,neutral,203.0,52.0,4.0,0.0769230769231
11.0,1.0,cigarette,alcohol,203.0,10.0,1.0,0.1
11.0,1.0,cigarette,cigarette,203.0,10.0,4.0,0.4
11.0,1.0,cigarette,neutral,203.0,10.0,5.0,0.5
12.0,1.0,cigarette,alcohol,203.0,1.0,0.0,0.0
12.0,1.0,cigarette,cigarette,203.0,1.0,0.0,0.0
12.0,1.0,cigarette,neutral,203.0,1.0,1.0,1.0
13.0,1.0,cigarette,alcohol,203.0,21.0,6.0,0.285714285714
13.0,1.0,cigarette,cigarette,203.0,21.0,7.0,0.333333333333
13.0,1.0,cigarette,neutral,203.0,21.0,8.0,0.380952380952
14.0,1.0,cigarette,alcohol,203.0,30.0,8.0,0.266666666667
14.0,1.0,cigarette,cigarette,203.0,30.0,14.0,0.466666666667
14.0,1.0,cigarette,neutral,203.0,30.0,8.0,0.266666666667
15.0,1.0,cigarette,alcohol,203.0,8.0,0.0,0.0
15.0,1.0,cigarette,cigarette,203.0,8.0,8.0,1.0
