sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,cigarette,alcohol,594.0,0.0,0.0,
1.0,3.0,cigarette,cigarette,594.0,0.0,0.0,
1.0,3.0,cigarette,neutral,594.0,0.0,0.0,
2.0,3.0,cigarette,alcohol,594.0,0.0,0.0,
2.0,3.0,cigarette,cigarette,594.0,0.0,0.0,
2.0,3.0,cigarette,neutral,594.0,0.0,0.0,
3.0,3.0,cigarette,alcohol,594.0,0.0,0.0,
3.0,3.0,cigarette,cigarette,594.0,0.0,0.0,
3.0,3.0,cigarette,neutral,594.0,0.0,0.0,
4.0,3.0,cigarette,alcohol,594.0,0.0,0.0,
4.0,3.0,cigarette,cigarette,594.0,0.0,0.0,
4.0,3.0,cigarette,neutral,594.0,0.0,0.0,
5.0,3.0,cigarette,alcohol,594.0,1.0,0.0,0.0
5.0,3.0,cigarette,cigarette,594.0,1.0,1.0,1.0
5.0,3.0,cigarette,neutral,594.0,1.0,0.0,0.0
6.0,3.0,cigarette,alcohol,594.0,19.0,8.0,0.421052631579
6.0,3.0,cigarette,cigarette,594.0,19.0,10.0,0.526315789474
6.0,3.0,cigarette,neutral,594.0,19.0,1.0,0.0526315789474
7.0,3.0,cigarette,alcohol,594.0,0.0,0.0,
7.0,3.0,cigarette,cigarette,594.0,0.0,0.0,
7.0,3.0,cigarette,neutral,594.0,0.0,0.0,
8.0,3.0,cigarette,alcohol,594.0,3.0,2.0,0.666666666667
8.0,3.0,cigarette,cigarette,594.0,3.0,1.0,0.333333333333
8.0,3.0,cigarette,neutral,594.0,3.0,0.0,0.0
9.0,3.0,cigarette,alcohol,594.0,2.0,1.0,0.5
9.0,3.0,cigarette,cigarette,594.0,2.0,1.0,0.5
9.0,3.0,cigarette,neutral,594.0,2.0,0.0,0.0
10.0,3.0,cigarette,alcohol,594.0,2.0,1.0,0.5
10.0,3.0,cigarette,cigarette,594.0,2.0,1.0,0.5
10.0,3.0,cigarette,neutral,594.0,2.0,0.0,0.0
11.0,3.0,cigarette,alcohol,594.0,8.0,3.0,0.375
11.0,3.0,cigarette,cigarette,594.0,8.0,5.0,0.625
11.0,3.0,cigarette,neutral,594.0,8.0,0.0,0.0
12.0,3.0,cigarette,alcohol,594.0,0.0,0.0,
12.0,3.0,cigarette,cigarette,594.0,0.0,0.0,
12.0,3.0,cigarette,neutral,594.0,0.0,0.0,
13.0,3.0,cigarette,alcohol,594.0,0.0,0.0,
13.0,3.0,cigarette,cigarette,594.0,0.0,0.0,
13.0,3.0,cigarette,neutral,594.0,0.0,0.0,
14.0,3.0,cigarette,alcohol,594.0,0.0,0.0,
14.0,3.0,cigarette,cigarette,594.0,0.0,0.0,
14.0,3.0,cigarette,neutral,594.0,0.0,0.0,
15.0,3.0,cigarette,alcohol,594.0,0.0,0.0,
15.0,3.0,cigarette,cigarette,594.0,0.0,0.0,
15.0,3.0,cigarette,neutral,594.0,0.0,0.0,
16.0,3.0,cigarette,alcohol,594.0,2.0,1.0,0.5
