sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,cigarette,alcohol,936.0,1.0,0.0,0.0
1.0,4.0,cigarette,cigarette,936.0,1.0,1.0,1.0
1.0,4.0,cigarette,neutral,936.0,1.0,0.0,0.0
2.0,4.0,cigarette,alcohol,936.0,4.0,1.0,0.25
2.0,4.0,cigarette,cigarette,936.0,4.0,2.0,0.5
2.0,4.0,cigarette,neutral,936.0,4.0,1.0,0.25
3.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
3.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
3.0,4.0,cigarette,neutral,936.0,0.0,0.0,
4.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
4.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
4.0,4.0,cigarette,neutral,936.0,0.0,0.0,
5.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
5.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
5.0,4.0,cigarette,neutral,936.0,0.0,0.0,
6.0,4.0,cigarette,alcohol,936.0,7.0,4.0,0.571428571429
6.0,4.0,cigarette,cigarette,936.0,7.0,2.0,0.285714285714
6.0,4.0,cigarette,neutral,936.0,7.0,1.0,0.142857142857
7.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
7.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
7.0,4.0,cigarette,neutral,936.0,0.0,0.0,
8.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
8.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
8.0,4.0,cigarette,neutral,936.0,0.0,0.0,
9.0,4.0,cigarette,alcohol,936.0,2.0,0.0,0.0
9.0,4.0,cigarette,cigarette,936.0,2.0,1.0,0.5
9.0,4.0,cigarette,neutral,936.0,2.0,1.0,0.5
10.0,4.0,cigarette,alcohol,936.0,1.0,0.0,0.0
10.0,4.0,cigarette,cigarette,936.0,1.0,0.0,0.0
10.0,4.0,cigarette,neutral,936.0,1.0,1.0,1.0
11.0,4.0,cigarette,alcohol,936.0,14.0,10.0,0.714285714286
11.0,4.0,cigarette,cigarette,936.0,14.0,0.0,0.0
11.0,4.0,cigarette,neutral,936.0,14.0,4.0,0.285714285714
12.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
12.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
12.0,4.0,cigarette,neutral,936.0,0.0,0.0,
13.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
13.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
13.0,4.0,cigarette,neutral,936.0,0.0,0.0,
14.0,4.0,cigarette,alcohol,936.0,1.0,1.0,1.0
14.0,4.0,cigarette,cigarette,936.0,1.0,0.0,0.0
14.0,4.0,cigarette,neutral,936.0,1.0,0.0,0.0
15.0,4.0,cigarette,alcohol,936.0,1.0,0.0,0.0
15.0,4.0,cigarette,cigarette,936.0,1.0,1.0,1.0
15.0,4.0,cigarette,neutral,936.0,1.0,0.0,0.0
16.0,4.0,cigarette,alcohol,936.0,1.0,1.0,1.0
16.0,4.0,cigarette,cigarette,936.0,1.0,0.0,0.0
16.0,4.0,cigarette,neutral,936.0,1.0,0.0,0.0
17.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
17.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
17.0,4.0,cigarette,neutral,936.0,0.0,0.0,
18.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
18.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
18.0,4.0,cigarette,neutral,936.0,0.0,0.0,
19.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
19.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
19.0,4.0,cigarette,neutral,936.0,0.0,0.0,
20.0,4.0,cigarette,alcohol,936.0,5.0,3.0,0.6
20.0,4.0,cigarette,cigarette,936.0,5.0,1.0,0.2
20.0,4.0,cigarette,neutral,936.0,5.0,1.0,0.2
21.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
21.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
21.0,4.0,cigarette,neutral,936.0,0.0,0.0,
22.0,4.0,cigarette,alcohol,936.0,2.0,0.0,0.0
22.0,4.0,cigarette,cigarette,936.0,2.0,2.0,1.0
22.0,4.0,cigarette,neutral,936.0,2.0,0.0,0.0
23.0,4.0,cigarette,alcohol,936.0,2.0,0.0,0.0
23.0,4.0,cigarette,cigarette,936.0,2.0,1.0,0.5
23.0,4.0,cigarette,neutral,936.0,2.0,1.0,0.5
24.0,4.0,cigarette,alcohol,936.0,2.0,1.0,0.5
24.0,4.0,cigarette,cigarette,936.0,2.0,0.0,0.0
24.0,4.0,cigarette,neutral,936.0,2.0,1.0,0.5
25.0,4.0,cigarette,alcohol,936.0,0.0,0.0,
25.0,4.0,cigarette,cigarette,936.0,0.0,0.0,
25.0,4.0,cigarette,neutral,936.0,0.0,0.0,
26.0,4.0,cigarette,alcohol,936.0,1.0,0.0,0.0
26.0,4.0,cigarette,cigarette,936.0,1.0,1.0,1.0
26.0,4.0,cigarette,neutral,936.0,1.0,0.0,0.0
27.0,4.0,cigarette,alcohol,936.0,6.0,3.0,0.5
27.0,4.0,cigarette,cigarette,936.0,6.0,2.0,0.333333333333
27.0,4.0,cigarette,neutral,936.0,6.0,1.0,0.166666666667
28.0,4.0,cigarette,alcohol,936.0,4.0,3.0,0.75
28.0,4.0,cigarette,cigarette,936.0,4.0,0.0,0.0
28.0,4.0,cigarette,neutral,936.0,4.0,1.0,0.25
29.0,4.0,cigarette,alcohol,936.0,5.0,4.0,0.8
29.0,4.0,cigarette,cigarette,936.0,5.0,0.0,0.0
29.0,4.0,cigarette,neutral,936.0,5.0,1.0,0.2
1.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
1.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
1.0,4.0,alcohol,neutral,936.0,0.0,0.0,
2.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
2.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
2.0,4.0,alcohol,neutral,936.0,0.0,0.0,
3.0,4.0,alcohol,alcohol,936.0,4.0,3.0,0.75
3.0,4.0,alcohol,cigarette,936.0,4.0,0.0,0.0
3.0,4.0,alcohol,neutral,936.0,4.0,1.0,0.25
4.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
4.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
4.0,4.0,alcohol,neutral,936.0,0.0,0.0,
5.0,4.0,alcohol,alcohol,936.0,1.0,1.0,1.0
5.0,4.0,alcohol,cigarette,936.0,1.0,0.0,0.0
5.0,4.0,alcohol,neutral,936.0,1.0,0.0,0.0
6.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
6.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
6.0,4.0,alcohol,neutral,936.0,0.0,0.0,
7.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
7.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
7.0,4.0,alcohol,neutral,936.0,0.0,0.0,
8.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
8.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
8.0,4.0,alcohol,neutral,936.0,0.0,0.0,
9.0,4.0,alcohol,alcohol,936.0,1.0,0.0,0.0
9.0,4.0,alcohol,cigarette,936.0,1.0,0.0,0.0
9.0,4.0,alcohol,neutral,936.0,1.0,1.0,1.0
10.0,4.0,alcohol,alcohol,936.0,9.0,2.0,0.222222222222
10.0,4.0,alcohol,cigarette,936.0,9.0,0.0,0.0
10.0,4.0,alcohol,neutral,936.0,9.0,7.0,0.777777777778
11.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
11.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
11.0,4.0,alcohol,neutral,936.0,0.0,0.0,
12.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
12.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
12.0,4.0,alcohol,neutral,936.0,0.0,0.0,
13.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
13.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
13.0,4.0,alcohol,neutral,936.0,0.0,0.0,
14.0,4.0,alcohol,alcohol,936.0,11.0,6.0,0.545454545455
14.0,4.0,alcohol,cigarette,936.0,11.0,2.0,0.181818181818
14.0,4.0,alcohol,neutral,936.0,11.0,3.0,0.272727272727
15.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
15.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
15.0,4.0,alcohol,neutral,936.0,0.0,0.0,
16.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
16.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
16.0,4.0,alcohol,neutral,936.0,0.0,0.0,
17.0,4.0,alcohol,alcohol,936.0,8.0,7.0,0.875
17.0,4.0,alcohol,cigarette,936.0,8.0,1.0,0.125
17.0,4.0,alcohol,neutral,936.0,8.0,0.0,0.0
18.0,4.0,alcohol,alcohol,936.0,6.0,2.0,0.333333333333
18.0,4.0,alcohol,cigarette,936.0,6.0,2.0,0.333333333333
18.0,4.0,alcohol,neutral,936.0,6.0,2.0,0.333333333333
19.0,4.0,alcohol,alcohol,936.0,7.0,3.0,0.428571428571
19.0,4.0,alcohol,cigarette,936.0,7.0,3.0,0.428571428571
19.0,4.0,alcohol,neutral,936.0,7.0,1.0,0.142857142857
20.0,4.0,alcohol,alcohol,936.0,4.0,3.0,0.75
20.0,4.0,alcohol,cigarette,936.0,4.0,1.0,0.25
20.0,4.0,alcohol,neutral,936.0,4.0,0.0,0.0
21.0,4.0,alcohol,alcohol,936.0,1.0,0.0,0.0
21.0,4.0,alcohol,cigarette,936.0,1.0,1.0,1.0
21.0,4.0,alcohol,neutral,936.0,1.0,0.0,0.0
22.0,4.0,alcohol,alcohol,936.0,5.0,3.0,0.6
22.0,4.0,alcohol,cigarette,936.0,5.0,1.0,0.2
22.0,4.0,alcohol,neutral,936.0,5.0,1.0,0.2
23.0,4.0,alcohol,alcohol,936.0,3.0,3.0,1.0
23.0,4.0,alcohol,cigarette,936.0,3.0,0.0,0.0
23.0,4.0,alcohol,neutral,936.0,3.0,0.0,0.0
24.0,4.0,alcohol,alcohol,936.0,1.0,0.0,0.0
24.0,4.0,alcohol,cigarette,936.0,1.0,1.0,1.0
24.0,4.0,alcohol,neutral,936.0,1.0,0.0,0.0
25.0,4.0,alcohol,alcohol,936.0,8.0,6.0,0.75
25.0,4.0,alcohol,cigarette,936.0,8.0,0.0,0.0
25.0,4.0,alcohol,neutral,936.0,8.0,2.0,0.25
26.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
26.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
26.0,4.0,alcohol,neutral,936.0,0.0,0.0,
27.0,4.0,alcohol,alcohol,936.0,0.0,0.0,
27.0,4.0,alcohol,cigarette,936.0,0.0,0.0,
27.0,4.0,alcohol,neutral,936.0,0.0,0.0,
28.0,4.0,alcohol,alcohol,936.0,4.0,3.0,0.75
28.0,4.0,alcohol,cigarette,936.0,4.0,0.0,0.0
28.0,4.0,alcohol,neutral,936.0,4.0,1.0,0.25
29.0,4.0,alcohol,alcohol,936.0,7.0,2.0,0.285714285714
29.0,4.0,alcohol,cigarette,936.0,7.0,4.0,0.571428571429
29.0,4.0,alcohol,neutral,936.0,7.0,1.0,0.142857142857
1.0,4.0,neutral,alcohol,936.0,2.0,0.0,0.0
1.0,4.0,neutral,cigarette,936.0,2.0,1.0,0.5
1.0,4.0,neutral,neutral,936.0,2.0,1.0,0.5
2.0,4.0,neutral,alcohol,936.0,2.0,0.0,0.0
2.0,4.0,neutral,cigarette,936.0,2.0,0.0,0.0
2.0,4.0,neutral,neutral,936.0,2.0,2.0,1.0
3.0,4.0,neutral,alcohol,936.0,12.0,3.0,0.25
3.0,4.0,neutral,cigarette,936.0,12.0,2.0,0.166666666667
3.0,4.0,neutral,neutral,936.0,12.0,7.0,0.583333333333
4.0,4.0,neutral,alcohol,936.0,0.0,0.0,
4.0,4.0,neutral,cigarette,936.0,0.0,0.0,
4.0,4.0,neutral,neutral,936.0,0.0,0.0,
5.0,4.0,neutral,alcohol,936.0,0.0,0.0,
5.0,4.0,neutral,cigarette,936.0,0.0,0.0,
5.0,4.0,neutral,neutral,936.0,0.0,0.0,
6.0,4.0,neutral,alcohol,936.0,0.0,0.0,
6.0,4.0,neutral,cigarette,936.0,0.0,0.0,
6.0,4.0,neutral,neutral,936.0,0.0,0.0,
7.0,4.0,neutral,alcohol,936.0,0.0,0.0,
7.0,4.0,neutral,cigarette,936.0,0.0,0.0,
7.0,4.0,neutral,neutral,936.0,0.0,0.0,
8.0,4.0,neutral,alcohol,936.0,0.0,0.0,
8.0,4.0,neutral,cigarette,936.0,0.0,0.0,
8.0,4.0,neutral,neutral,936.0,0.0,0.0,
9.0,4.0,neutral,alcohol,936.0,3.0,1.0,0.333333333333
9.0,4.0,neutral,cigarette,936.0,3.0,2.0,0.666666666667
9.0,4.0,neutral,neutral,936.0,3.0,0.0,0.0
10.0,4.0,neutral,alcohol,936.0,0.0,0.0,
10.0,4.0,neutral,cigarette,936.0,0.0,0.0,
10.0,4.0,neutral,neutral,936.0,0.0,0.0,
11.0,4.0,neutral,alcohol,936.0,0.0,0.0,
11.0,4.0,neutral,cigarette,936.0,0.0,0.0,
11.0,4.0,neutral,neutral,936.0,0.0,0.0,
12.0,4.0,neutral,alcohol,936.0,4.0,1.0,0.25
12.0,4.0,neutral,cigarette,936.0,4.0,1.0,0.25
12.0,4.0,neutral,neutral,936.0,4.0,2.0,0.5
13.0,4.0,neutral,alcohol,936.0,6.0,2.0,0.333333333333
13.0,4.0,neutral,cigarette,936.0,6.0,1.0,0.166666666667
13.0,4.0,neutral,neutral,936.0,6.0,3.0,0.5
14.0,4.0,neutral,alcohol,936.0,0.0,0.0,
14.0,4.0,neutral,cigarette,936.0,0.0,0.0,
14.0,4.0,neutral,neutral,936.0,0.0,0.0,
15.0,4.0,neutral,alcohol,936.0,0.0,0.0,
15.0,4.0,neutral,cigarette,936.0,0.0,0.0,
15.0,4.0,neutral,neutral,936.0,0.0,0.0,
16.0,4.0,neutral,alcohol,936.0,0.0,0.0,
16.0,4.0,neutral,cigarette,936.0,0.0,0.0,
16.0,4.0,neutral,neutral,936.0,0.0,0.0,
17.0,4.0,neutral,alcohol,936.0,4.0,0.0,0.0
17.0,4.0,neutral,cigarette,936.0,4.0,2.0,0.5
17.0,4.0,neutral,neutral,936.0,4.0,2.0,0.5
18.0,4.0,neutral,alcohol,936.0,6.0,2.0,0.333333333333
18.0,4.0,neutral,cigarette,936.0,6.0,3.0,0.5
18.0,4.0,neutral,neutral,936.0,6.0,1.0,0.166666666667
19.0,4.0,neutral,alcohol,936.0,4.0,2.0,0.5
19.0,4.0,neutral,cigarette,936.0,4.0,0.0,0.0
19.0,4.0,neutral,neutral,936.0,4.0,2.0,0.5
20.0,4.0,neutral,alcohol,936.0,1.0,1.0,1.0
20.0,4.0,neutral,cigarette,936.0,1.0,0.0,0.0
20.0,4.0,neutral,neutral,936.0,1.0,0.0,0.0
21.0,4.0,neutral,alcohol,936.0,0.0,0.0,
21.0,4.0,neutral,cigarette,936.0,0.0,0.0,
21.0,4.0,neutral,neutral,936.0,0.0,0.0,
22.0,4.0,neutral,alcohol,936.0,1.0,1.0,1.0
22.0,4.0,neutral,cigarette,936.0,1.0,0.0,0.0
22.0,4.0,neutral,neutral,936.0,1.0,0.0,0.0
23.0,4.0,neutral,alcohol,936.0,0.0,0.0,
23.0,4.0,neutral,cigarette,936.0,0.0,0.0,
23.0,4.0,neutral,neutral,936.0,0.0,0.0,
24.0,4.0,neutral,alcohol,936.0,0.0,0.0,
24.0,4.0,neutral,cigarette,936.0,0.0,0.0,
24.0,4.0,neutral,neutral,936.0,0.0,0.0,
25.0,4.0,neutral,alcohol,936.0,1.0,0.0,0.0
25.0,4.0,neutral,cigarette,936.0,1.0,0.0,0.0
25.0,4.0,neutral,neutral,936.0,1.0,1.0,1.0
26.0,4.0,neutral,alcohol,936.0,3.0,0.0,0.0
26.0,4.0,neutral,cigarette,936.0,3.0,0.0,0.0
26.0,4.0,neutral,neutral,936.0,3.0,3.0,1.0
27.0,4.0,neutral,alcohol,936.0,3.0,3.0,1.0
27.0,4.0,neutral,cigarette,936.0,3.0,0.0,0.0
27.0,4.0,neutral,neutral,936.0,3.0,0.0,0.0
28.0,4.0,neutral,alcohol,936.0,6.0,2.0,0.333333333333
28.0,4.0,neutral,cigarette,936.0,6.0,1.0,0.166666666667
28.0,4.0,neutral,neutral,936.0,6.0,3.0,0.5
29.0,4.0,neutral,alcohol,936.0,2.0,1.0,0.5
29.0,4.0,neutral,cigarette,936.0,2.0,1.0,0.5
29.0,4.0,neutral,neutral,936.0,2.0,0.0,0.0
