sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,ALC,alcohol,545.0,0.0,0.0,
1.0,3.0,ALC,cigarette,545.0,0.0,0.0,
1.0,3.0,ALC,neutral,545.0,0.0,0.0,
2.0,3.0,ALC,alcohol,545.0,0.0,0.0,
2.0,3.0,ALC,cigarette,545.0,0.0,0.0,
2.0,3.0,ALC,neutral,545.0,0.0,0.0,
3.0,3.0,ALC,alcohol,545.0,0.0,0.0,
3.0,3.0,ALC,cigarette,545.0,0.0,0.0,
3.0,3.0,ALC,neutral,545.0,0.0,0.0,
4.0,3.0,ALC,alcohol,545.0,0.0,0.0,
4.0,3.0,ALC,cigarette,545.0,0.0,0.0,
4.0,3.0,ALC,neutral,545.0,0.0,0.0,
5.0,3.0,ALC,alcohol,545.0,0.0,0.0,
5.0,3.0,ALC,cigarette,545.0,0.0,0.0,
5.0,3.0,ALC,neutral,545.0,0.0,0.0,
6.0,3.0,ALC,alcohol,545.0,0.0,0.0,
6.0,3.0,ALC,cigarette,545.0,0.0,0.0,
6.0,3.0,ALC,neutral,545.0,0.0,0.0,
7.0,3.0,ALC,alcohol,545.0,0.0,0.0,
7.0,3.0,ALC,cigarette,545.0,0.0,0.0,
7.0,3.0,ALC,neutral,545.0,0.0,0.0,
8.0,3.0,ALC,alcohol,545.0,0.0,0.0,
8.0,3.0,ALC,cigarette,545.0,0.0,0.0,
8.0,3.0,ALC,neutral,545.0,0.0,0.0,
9.0,3.0,ALC,alcohol,545.0,18.0,12.0,0.666666666667
9.0,3.0,ALC,cigarette,545.0,18.0,3.0,0.166666666667
9.0,3.0,ALC,neutral,545.0,18.0,3.0,0.166666666667
10.0,3.0,ALC,alcohol,545.0,0.0,0.0,
10.0,3.0,ALC,cigarette,545.0,0.0,0.0,
10.0,3.0,ALC,neutral,545.0,0.0,0.0,
11.0,3.0,ALC,alcohol,545.0,0.0,0.0,
11.0,3.0,ALC,cigarette,545.0,0.0,0.0,
11.0,3.0,ALC,neutral,545.0,0.0,0.0,
12.0,3.0,ALC,alcohol,545.0,0.0,0.0,
12.0,3.0,ALC,cigarette,545.0,0.0,0.0,
12.0,3.0,ALC,neutral,545.0,0.0,0.0,
13.0,3.0,ALC,alcohol,545.0,0.0,0.0,
13.0,3.0,ALC,cigarette,545.0,0.0,0.0,
13.0,3.0,ALC,neutral,545.0,0.0,0.0,
14.0,3.0,ALC,alcohol,545.0,0.0,0.0,
14.0,3.0,ALC,cigarette,545.0,0.0,0.0,
14.0,3.0,ALC,neutral,545.0,0.0,0.0,
15.0,3.0,ALC,alcohol,545.0,0.0,0.0,
15.0,3.0,ALC,cigarette,545.0,0.0,0.0,
15.0,3.0,ALC,neutral,545.0,0.0,0.0,
16.0,3.0,ALC,alcohol,545.0,0.0,0.0,
16.0,3.0,ALC,cigarette,545.0,0.0,0.0,
16.0,3.0,ALC,neutral,545.0,0.0,0.0,
17.0,3.0,ALC,alcohol,545.0,0.0,0.0,
17.0,3.0,ALC,cigarette,545.0,0.0,0.0,
17.0,3.0,ALC,neutral,545.0,0.0,0.0,
18.0,3.0,ALC,alcohol,545.0,0.0,0.0,
18.0,3.0,ALC,cigarette,545.0,0.0,0.0,
18.0,3.0,ALC,neutral,545.0,0.0,0.0,
19.0,3.0,ALC,alcohol,545.0,0.0,0.0,
19.0,3.0,ALC,cigarette,545.0,0.0,0.0,
19.0,3.0,ALC,neutral,545.0,0.0,0.0,
20.0,3.0,ALC,alcohol,545.0,0.0,0.0,
20.0,3.0,ALC,cigarette,545.0,0.0,0.0,
20.0,3.0,ALC,neutral,545.0,0.0,0.0,
21.0,3.0,ALC,alcohol,545.0,6.0,2.0,0.333333333333
21.0,3.0,ALC,cigarette,545.0,6.0,4.0,0.666666666667
21.0,3.0,ALC,neutral,545.0,6.0,0.0,0.0
22.0,3.0,ALC,alcohol,545.0,0.0,0.0,
22.0,3.0,ALC,cigarette,545.0,0.0,0.0,
22.0,3.0,ALC,neutral,545.0,0.0,0.0,
23.0,3.0,ALC,alcohol,545.0,0.0,0.0,
23.0,3.0,ALC,cigarette,545.0,0.0,0.0,
23.0,3.0,ALC,neutral,545.0,0.0,0.0,
24.0,3.0,ALC,alcohol,545.0,0.0,0.0,
24.0,3.0,ALC,cigarette,545.0,0.0,0.0,
24.0,3.0,ALC,neutral,545.0,0.0,0.0,
25.0,3.0,ALC,alcohol,545.0,0.0,0.0,
25.0,3.0,ALC,cigarette,545.0,0.0,0.0,
25.0,3.0,ALC,neutral,545.0,0.0,0.0,
26.0,3.0,ALC,alcohol,545.0,15.0,2.0,0.133333333333
26.0,3.0,ALC,cigarette,545.0,15.0,2.0,0.133333333333
26.0,3.0,ALC,neutral,545.0,15.0,11.0,0.733333333333
27.0,3.0,ALC,alcohol,545.0,22.0,5.0,0.227272727273
27.0,3.0,ALC,cigarette,545.0,22.0,11.0,0.5
27.0,3.0,ALC,neutral,545.0,22.0,6.0,0.272727272727
28.0,3.0,ALC,alcohol,545.0,28.0,19.0,0.678571428571
28.0,3.0,ALC,cigarette,545.0,28.0,6.0,0.214285714286
28.0,3.0,ALC,neutral,545.0,28.0,3.0,0.107142857143
29.0,3.0,ALC,alcohol,545.0,0.0,0.0,
29.0,3.0,ALC,cigarette,545.0,0.0,0.0,
29.0,3.0,ALC,neutral,545.0,0.0,0.0,
1.0,3.0,CIG,alcohol,545.0,3.0,2.0,0.666666666667
1.0,3.0,CIG,cigarette,545.0,3.0,0.0,0.0
1.0,3.0,CIG,neutral,545.0,3.0,1.0,0.333333333333
2.0,3.0,CIG,alcohol,545.0,17.0,17.0,1.0
2.0,3.0,CIG,cigarette,545.0,17.0,0.0,0.0
2.0,3.0,CIG,neutral,545.0,17.0,0.0,0.0
3.0,3.0,CIG,alcohol,545.0,25.0,12.0,0.48
3.0,3.0,CIG,cigarette,545.0,25.0,7.0,0.28
3.0,3.0,CIG,neutral,545.0,25.0,6.0,0.24
4.0,3.0,CIG,alcohol,545.0,0.0,0.0,
4.0,3.0,CIG,cigarette,545.0,0.0,0.0,
4.0,3.0,CIG,neutral,545.0,0.0,0.0,
5.0,3.0,CIG,alcohol,545.0,7.0,2.0,0.285714285714
5.0,3.0,CIG,cigarette,545.0,7.0,3.0,0.428571428571
5.0,3.0,CIG,neutral,545.0,7.0,2.0,0.285714285714
6.0,3.0,CIG,alcohol,545.0,27.0,8.0,0.296296296296
6.0,3.0,CIG,cigarette,545.0,27.0,18.0,0.666666666667
6.0,3.0,CIG,neutral,545.0,27.0,1.0,0.037037037037
7.0,3.0,CIG,alcohol,545.0,7.0,0.0,0.0
7.0,3.0,CIG,cigarette,545.0,7.0,7.0,1.0
7.0,3.0,CIG,neutral,545.0,7.0,0.0,0.0
8.0,3.0,CIG,alcohol,545.0,12.0,3.0,0.25
8.0,3.0,CIG,cigarette,545.0,12.0,7.0,0.583333333333
8.0,3.0,CIG,neutral,545.0,12.0,2.0,0.166666666667
9.0,3.0,CIG,alcohol,545.0,0.0,0.0,
9.0,3.0,CIG,cigarette,545.0,0.0,0.0,
9.0,3.0,CIG,neutral,545.0,0.0,0.0,
10.0,3.0,CIG,alcohol,545.0,20.0,9.0,0.45
10.0,3.0,CIG,cigarette,545.0,20.0,6.0,0.3
10.0,3.0,CIG,neutral,545.0,20.0,5.0,0.25
11.0,3.0,CIG,alcohol,545.0,30.0,9.0,0.3
11.0,3.0,CIG,cigarette,545.0,30.0,12.0,0.4
11.0,3.0,CIG,neutral,545.0,30.0,9.0,0.3
12.0,3.0,CIG,alcohol,545.0,6.0,5.0,0.833333333333
12.0,3.0,CIG,cigarette,545.0,6.0,1.0,0.166666666667
12.0,3.0,CIG,neutral,545.0,6.0,0.0,0.0
13.0,3.0,CIG,alcohol,545.0,25.0,7.0,0.28
13.0,3.0,CIG,cigarette,545.0,25.0,10.0,0.4
13.0,3.0,CIG,neutral,545.0,25.0,8.0,0.32
14.0,3.0,CIG,alcohol,545.0,26.0,19.0,0.730769230769
14.0,3.0,CIG,cigarette,545.0,26.0,3.0,0.115384615385
14.0,3.0,CIG,neutral,545.0,26.0,4.0,0.153846153846
15.0,3.0,CIG,alcohol,545.0,2.0,1.0,0.5
15.0,3.0,CIG,cigarette,545.0,2.0,1.0,0.5
15.0,3.0,CIG,neutral,545.0,2.0,0.0,0.0
16.0,3.0,CIG,alcohol,545.0,7.0,2.0,0.285714285714
16.0,3.0,CIG,cigarette,545.0,7.0,4.0,0.571428571429
16.0,3.0,CIG,neutral,545.0,7.0,1.0,0.142857142857
17.0,3.0,CIG,alcohol,545.0,18.0,5.0,0.277777777778
17.0,3.0,CIG,cigarette,545.0,18.0,8.0,0.444444444444
17.0,3.0,CIG,neutral,545.0,18.0,5.0,0.277777777778
18.0,3.0,CIG,alcohol,545.0,13.0,7.0,0.538461538462
18.0,3.0,CIG,cigarette,545.0,13.0,5.0,0.384615384615
18.0,3.0,CIG,neutral,545.0,13.0,1.0,0.0769230769231
19.0,3.0,CIG,alcohol,545.0,24.0,15.0,0.625
19.0,3.0,CIG,cigarette,545.0,24.0,3.0,0.125
19.0,3.0,CIG,neutral,545.0,24.0,6.0,0.25
20.0,3.0,CIG,alcohol,545.0,25.0,10.0,0.4
20.0,3.0,CIG,cigarette,545.0,25.0,8.0,0.32
20.0,3.0,CIG,neutral,545.0,25.0,7.0,0.28
21.0,3.0,CIG,alcohol,545.0,0.0,0.0,
21.0,3.0,CIG,cigarette,545.0,0.0,0.0,
21.0,3.0,CIG,neutral,545.0,0.0,0.0,
22.0,3.0,CIG,alcohol,545.0,14.0,7.0,0.5
22.0,3.0,CIG,cigarette,545.0,14.0,5.0,0.357142857143
22.0,3.0,CIG,neutral,545.0,14.0,2.0,0.142857142857
23.0,3.0,CIG,alcohol,545.0,13.0,7.0,0.538461538462
23.0,3.0,CIG,cigarette,545.0,13.0,4.0,0.307692307692
23.0,3.0,CIG,neutral,545.0,13.0,2.0,0.153846153846
24.0,3.0,CIG,alcohol,545.0,2.0,0.0,0.0
24.0,3.0,CIG,cigarette,545.0,2.0,0.0,0.0
24.0,3.0,CIG,neutral,545.0,2.0,2.0,1.0
25.0,3.0,CIG,alcohol,545.0,20.0,7.0,0.35
25.0,3.0,CIG,cigarette,545.0,20.0,8.0,0.4
25.0,3.0,CIG,neutral,545.0,20.0,5.0,0.25
26.0,3.0,CIG,alcohol,545.0,0.0,0.0,
26.0,3.0,CIG,cigarette,545.0,0.0,0.0,
26.0,3.0,CIG,neutral,545.0,0.0,0.0,
27.0,3.0,CIG,alcohol,545.0,0.0,0.0,
27.0,3.0,CIG,cigarette,545.0,0.0,0.0,
27.0,3.0,CIG,neutral,545.0,0.0,0.0,
28.0,3.0,CIG,alcohol,545.0,0.0,0.0,
28.0,3.0,CIG,cigarette,545.0,0.0,0.0,
28.0,3.0,CIG,neutral,545.0,0.0,0.0,
29.0,3.0,CIG,alcohol,545.0,25.0,8.0,0.32
29.0,3.0,CIG,cigarette,545.0,25.0,13.0,0.52
29.0,3.0,CIG,neutral,545.0,25.0,4.0,0.16
