sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,CIG,alcohol,1190.0,1.0,0.0,0.0
1.0,4.0,CIG,cigarette,1190.0,1.0,1.0,1.0
1.0,4.0,CIG,neutral,1190.0,1.0,0.0,0.0
2.0,4.0,CIG,alcohol,1190.0,6.0,1.0,0.166666666667
2.0,4.0,CIG,cigarette,1190.0,6.0,2.0,0.333333333333
2.0,4.0,CIG,neutral,1190.0,6.0,3.0,0.5
3.0,4.0,CIG,alcohol,1190.0,12.0,5.0,0.416666666667
3.0,4.0,CIG,cigarette,1190.0,12.0,1.0,0.0833333333333
3.0,4.0,CIG,neutral,1190.0,12.0,6.0,0.5
4.0,4.0,CIG,alcohol,1190.0,0.0,0.0,
4.0,4.0,CIG,cigarette,1190.0,0.0,0.0,
4.0,4.0,CIG,neutral,1190.0,0.0,0.0,
5.0,4.0,CIG,alcohol,1190.0,2.0,1.0,0.5
5.0,4.0,CIG,cigarette,1190.0,2.0,0.0,0.0
5.0,4.0,CIG,neutral,1190.0,2.0,1.0,0.5
6.0,4.0,CIG,alcohol,1190.0,7.0,3.0,0.428571428571
6.0,4.0,CIG,cigarette,1190.0,7.0,4.0,0.571428571429
6.0,4.0,CIG,neutral,1190.0,7.0,0.0,0.0
7.0,4.0,CIG,alcohol,1190.0,0.0,0.0,
7.0,4.0,CIG,cigarette,1190.0,0.0,0.0,
7.0,4.0,CIG,neutral,1190.0,0.0,0.0,
8.0,4.0,CIG,alcohol,1190.0,0.0,0.0,
8.0,4.0,CIG,cigarette,1190.0,0.0,0.0,
8.0,4.0,CIG,neutral,1190.0,0.0,0.0,
9.0,4.0,CIG,alcohol,1190.0,6.0,1.0,0.166666666667
9.0,4.0,CIG,cigarette,1190.0,6.0,2.0,0.333333333333
9.0,4.0,CIG,neutral,1190.0,6.0,3.0,0.5
10.0,4.0,CIG,alcohol,1190.0,10.0,3.0,0.3
10.0,4.0,CIG,cigarette,1190.0,10.0,0.0,0.0
10.0,4.0,CIG,neutral,1190.0,10.0,7.0,0.7
11.0,4.0,CIG,alcohol,1190.0,12.0,7.0,0.583333333333
11.0,4.0,CIG,cigarette,1190.0,12.0,0.0,0.0
11.0,4.0,CIG,neutral,1190.0,12.0,5.0,0.416666666667
12.0,4.0,CIG,alcohol,1190.0,4.0,1.0,0.25
12.0,4.0,CIG,cigarette,1190.0,4.0,1.0,0.25
