sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
1.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
1.0,2.0,alcohol,neutral,647.0,0.0,0.0,
2.0,2.0,alcohol,alcohol,647.0,2.0,2.0,1.0
2.0,2.0,alcohol,cigarette,647.0,2.0,0.0,0.0
2.0,2.0,alcohol,neutral,647.0,2.0,0.0,0.0
3.0,2.0,alcohol,alcohol,647.0,4.0,3.0,0.75
3.0,2.0,alcohol,cigarette,647.0,4.0,0.0,0.0
3.0,2.0,alcohol,neutral,647.0,4.0,1.0,0.25
4.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
4.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
4.0,2.0,alcohol,neutral,647.0,0.0,0.0,
5.0,2.0,alcohol,alcohol,647.0,8.0,7.0,0.875
5.0,2.0,alcohol,cigarette,647.0,8.0,1.0,0.125
5.0,2.0,alcohol,neutral,647.0,8.0,0.0,0.0
6.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
6.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
6.0,2.0,alcohol,neutral,647.0,0.0,0.0,
7.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
7.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
7.0,2.0,alcohol,neutral,647.0,0.0,0.0,
8.0,2.0,alcohol,alcohol,647.0,8.0,8.0,1.0
8.0,2.0,alcohol,cigarette,647.0,8.0,0.0,0.0
8.0,2.0,alcohol,neutral,647.0,8.0,0.0,0.0
9.0,2.0,alcohol,alcohol,647.0,2.0,1.0,0.5
9.0,2.0,alcohol,cigarette,647.0,2.0,0.0,0.0
9.0,2.0,alcohol,neutral,647.0,2.0,1.0,0.5
10.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
10.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
10.0,2.0,alcohol,neutral,647.0,0.0,0.0,
11.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
11.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
11.0,2.0,alcohol,neutral,647.0,0.0,0.0,
12.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
12.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
12.0,2.0,alcohol,neutral,647.0,0.0,0.0,
13.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
13.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
13.0,2.0,alcohol,neutral,647.0,0.0,0.0,
14.0,2.0,alcohol,alcohol,647.0,7.0,5.0,0.714285714286
14.0,2.0,alcohol,cigarette,647.0,7.0,0.0,0.0
14.0,2.0,alcohol,neutral,647.0,7.0,2.0,0.285714285714
15.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
15.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
15.0,2.0,alcohol,neutral,647.0,0.0,0.0,
16.0,2.0,alcohol,alcohol,647.0,1.0,1.0,1.0
16.0,2.0,alcohol,cigarette,647.0,1.0,0.0,0.0
16.0,2.0,alcohol,neutral,647.0,1.0,0.0,0.0
17.0,2.0,alcohol,alcohol,647.0,2.0,0.0,0.0
17.0,2.0,alcohol,cigarette,647.0,2.0,1.0,0.5
17.0,2.0,alcohol,neutral,647.0,2.0,1.0,0.5
18.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
18.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
18.0,2.0,alcohol,neutral,647.0,0.0,0.0,
19.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
19.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
19.0,2.0,alcohol,neutral,647.0,0.0,0.0,
20.0,2.0,alcohol,alcohol,647.0,4.0,3.0,0.75
20.0,2.0,alcohol,cigarette,647.0,4.0,0.0,0.0
20.0,2.0,alcohol,neutral,647.0,4.0,1.0,0.25
21.0,2.0,alcohol,alcohol,647.0,3.0,1.0,0.333333333333
21.0,2.0,alcohol,cigarette,647.0,3.0,1.0,0.333333333333
21.0,2.0,alcohol,neutral,647.0,3.0,1.0,0.333333333333
22.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
22.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
22.0,2.0,alcohol,neutral,647.0,0.0,0.0,
23.0,2.0,alcohol,alcohol,647.0,3.0,1.0,0.333333333333
23.0,2.0,alcohol,cigarette,647.0,3.0,2.0,0.666666666667
23.0,2.0,alcohol,neutral,647.0,3.0,0.0,0.0
24.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
24.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
24.0,2.0,alcohol,neutral,647.0,0.0,0.0,
25.0,2.0,alcohol,alcohol,647.0,9.0,7.0,0.777777777778
25.0,2.0,alcohol,cigarette,647.0,9.0,0.0,0.0
25.0,2.0,alcohol,neutral,647.0,9.0,2.0,0.222222222222
26.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
26.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
26.0,2.0,alcohol,neutral,647.0,0.0,0.0,
27.0,2.0,alcohol,alcohol,647.0,0.0,0.0,
27.0,2.0,alcohol,cigarette,647.0,0.0,0.0,
27.0,2.0,alcohol,neutral,647.0,0.0,0.0,
28.0,2.0,alcohol,alcohol,647.0,2.0,1.0,0.5
28.0,2.0,alcohol,cigarette,647.0,2.0,0.0,0.0
28.0,2.0,alcohol,neutral,647.0,2.0,1.0,0.5
29.0,2.0,alcohol,alcohol,647.0,13.0,8.0,0.615384615385
29.0,2.0,alcohol,cigarette,647.0,13.0,3.0,0.230769230769
29.0,2.0,alcohol,neutral,647.0,13.0,2.0,0.153846153846
1.0,2.0,cigarette,alcohol,647.0,5.0,2.0,0.4
1.0,2.0,cigarette,cigarette,647.0,5.0,2.0,0.4
1.0,2.0,cigarette,neutral,647.0,5.0,1.0,0.2
2.0,2.0,cigarette,alcohol,647.0,15.0,10.0,0.666666666667
2.0,2.0,cigarette,cigarette,647.0,15.0,4.0,0.266666666667
2.0,2.0,cigarette,neutral,647.0,15.0,1.0,0.0666666666667
3.0,2.0,cigarette,alcohol,647.0,18.0,5.0,0.277777777778
3.0,2.0,cigarette,cigarette,647.0,18.0,5.0,0.277777777778
3.0,2.0,cigarette,neutral,647.0,18.0,8.0,0.444444444444
4.0,2.0,cigarette,alcohol,647.0,0.0,0.0,
4.0,2.0,cigarette,cigarette,647.0,0.0,0.0,
4.0,2.0,cigarette,neutral,647.0,0.0,0.0,
5.0,2.0,cigarette,alcohol,647.0,2.0,1.0,0.5
5.0,2.0,cigarette,cigarette,647.0,2.0,1.0,0.5
5.0,2.0,cigarette,neutral,647.0,2.0,0.0,0.0
6.0,2.0,cigarette,alcohol,647.0,17.0,7.0,0.411764705882
6.0,2.0,cigarette,cigarette,647.0,17.0,7.0,0.411764705882
6.0,2.0,cigarette,neutral,647.0,17.0,3.0,0.176470588235
7.0,2.0,cigarette,alcohol,647.0,10.0,2.0,0.2
7.0,2.0,cigarette,cigarette,647.0,10.0,7.0,0.7
7.0,2.0,cigarette,neutral,647.0,10.0,1.0,0.1
8.0,2.0,cigarette,alcohol,647.0,1.0,1.0,1.0
8.0,2.0,cigarette,cigarette,647.0,1.0,0.0,0.0
8.0,2.0,cigarette,neutral,647.0,1.0,0.0,0.0
9.0,2.0,cigarette,alcohol,647.0,12.0,6.0,0.5
9.0,2.0,cigarette,cigarette,647.0,12.0,4.0,0.333333333333
9.0,2.0,cigarette,neutral,647.0,12.0,2.0,0.166666666667
10.0,2.0,cigarette,alcohol,647.0,19.0,14.0,0.736842105263
10.0,2.0,cigarette,cigarette,647.0,19.0,1.0,0.0526315789474
10.0,2.0,cigarette,neutral,647.0,19.0,4.0,0.210526315789
11.0,2.0,cigarette,alcohol,647.0,25.0,11.0,0.44
11.0,2.0,cigarette,cigarette,647.0,25.0,11.0,0.44
11.0,2.0,cigarette,neutral,647.0,25.0,3.0,0.12
12.0,2.0,cigarette,alcohol,647.0,2.0,1.0,0.5
12.0,2.0,cigarette,cigarette,647.0,2.0,1.0,0.5
12.0,2.0,cigarette,neutral,647.0,2.0,0.0,0.0
13.0,2.0,cigarette,alcohol,647.0,9.0,4.0,0.444444444444
13.0,2.0,cigarette,cigarette,647.0,9.0,3.0,0.333333333333
13.0,2.0,cigarette,neutral,647.0,9.0,2.0,0.222222222222
14.0,2.0,cigarette,alcohol,647.0,14.0,6.0,0.428571428571
14.0,2.0,cigarette,cigarette,647.0,14.0,5.0,0.357142857143
14.0,2.0,cigarette,neutral,647.0,14.0,3.0,0.214285714286
15.0,2.0,cigarette,alcohol,647.0,1.0,0.0,0.0
15.0,2.0,cigarette,cigarette,647.0,1.0,1.0,1.0
15.0,2.0,cigarette,neutral,647.0,1.0,0.0,0.0
16.0,2.0,cigarette,alcohol,647.0,2.0,1.0,0.5
16.0,2.0,cigarette,cigarette,647.0,2.0,0.0,0.0
16.0,2.0,cigarette,neutral,647.0,2.0,1.0,0.5
17.0,2.0,cigarette,alcohol,647.0,7.0,1.0,0.142857142857
17.0,2.0,cigarette,cigarette,647.0,7.0,6.0,0.857142857143
17.0,2.0,cigarette,neutral,647.0,7.0,0.0,0.0
18.0,2.0,cigarette,alcohol,647.0,3.0,0.0,0.0
18.0,2.0,cigarette,cigarette,647.0,3.0,1.0,0.333333333333
18.0,2.0,cigarette,neutral,647.0,3.0,2.0,0.666666666667
19.0,2.0,cigarette,alcohol,647.0,20.0,3.0,0.15
19.0,2.0,cigarette,cigarette,647.0,20.0,16.0,0.8
19.0,2.0,cigarette,neutral,647.0,20.0,1.0,0.05
20.0,2.0,cigarette,alcohol,647.0,15.0,10.0,0.666666666667
20.0,2.0,cigarette,cigarette,647.0,15.0,3.0,0.2
20.0,2.0,cigarette,neutral,647.0,15.0,2.0,0.133333333333
21.0,2.0,cigarette,alcohol,647.0,3.0,0.0,0.0
21.0,2.0,cigarette,cigarette,647.0,3.0,2.0,0.666666666667
21.0,2.0,cigarette,neutral,647.0,3.0,1.0,0.333333333333
22.0,2.0,cigarette,alcohol,647.0,10.0,4.0,0.4
22.0,2.0,cigarette,cigarette,647.0,10.0,5.0,0.5
22.0,2.0,cigarette,neutral,647.0,10.0,1.0,0.1
23.0,2.0,cigarette,alcohol,647.0,3.0,1.0,0.333333333333
23.0,2.0,cigarette,cigarette,647.0,3.0,1.0,0.333333333333
23.0,2.0,cigarette,neutral,647.0,3.0,1.0,0.333333333333
24.0,2.0,cigarette,alcohol,647.0,2.0,1.0,0.5
24.0,2.0,cigarette,cigarette,647.0,2.0,1.0,0.5
24.0,2.0,cigarette,neutral,647.0,2.0,0.0,0.0
25.0,2.0,cigarette,alcohol,647.0,8.0,3.0,0.375
25.0,2.0,cigarette,cigarette,647.0,8.0,3.0,0.375
25.0,2.0,cigarette,neutral,647.0,8.0,2.0,0.25
26.0,2.0,cigarette,alcohol,647.0,2.0,0.0,0.0
26.0,2.0,cigarette,cigarette,647.0,2.0,1.0,0.5
26.0,2.0,cigarette,neutral,647.0,2.0,1.0,0.5
27.0,2.0,cigarette,alcohol,647.0,8.0,4.0,0.5
27.0,2.0,cigarette,cigarette,647.0,8.0,3.0,0.375
27.0,2.0,cigarette,neutral,647.0,8.0,1.0,0.125
28.0,2.0,cigarette,alcohol,647.0,12.0,3.0,0.25
28.0,2.0,cigarette,cigarette,647.0,12.0,9.0,0.75
28.0,2.0,cigarette,neutral,647.0,12.0,0.0,0.0
29.0,2.0,cigarette,alcohol,647.0,10.0,8.0,0.8
29.0,2.0,cigarette,cigarette,647.0,10.0,0.0,0.0
29.0,2.0,cigarette,neutral,647.0,10.0,2.0,0.2
1.0,2.0,neutral,alcohol,647.0,1.0,1.0,1.0
1.0,2.0,neutral,cigarette,647.0,1.0,0.0,0.0
1.0,2.0,neutral,neutral,647.0,1.0,0.0,0.0
2.0,2.0,neutral,alcohol,647.0,0.0,0.0,
2.0,2.0,neutral,cigarette,647.0,0.0,0.0,
2.0,2.0,neutral,neutral,647.0,0.0,0.0,
3.0,2.0,neutral,alcohol,647.0,1.0,1.0,1.0
3.0,2.0,neutral,cigarette,647.0,1.0,0.0,0.0
3.0,2.0,neutral,neutral,647.0,1.0,0.0,0.0
4.0,2.0,neutral,alcohol,647.0,0.0,0.0,
4.0,2.0,neutral,cigarette,647.0,0.0,0.0,
4.0,2.0,neutral,neutral,647.0,0.0,0.0,
5.0,2.0,neutral,alcohol,647.0,2.0,1.0,0.5
5.0,2.0,neutral,cigarette,647.0,2.0,0.0,0.0
5.0,2.0,neutral,neutral,647.0,2.0,1.0,0.5
6.0,2.0,neutral,alcohol,647.0,0.0,0.0,
6.0,2.0,neutral,cigarette,647.0,0.0,0.0,
6.0,2.0,neutral,neutral,647.0,0.0,0.0,
7.0,2.0,neutral,alcohol,647.0,0.0,0.0,
7.0,2.0,neutral,cigarette,647.0,0.0,0.0,
7.0,2.0,neutral,neutral,647.0,0.0,0.0,
8.0,2.0,neutral,alcohol,647.0,2.0,0.0,0.0
8.0,2.0,neutral,cigarette,647.0,2.0,0.0,0.0
8.0,2.0,neutral,neutral,647.0,2.0,2.0,1.0
9.0,2.0,neutral,alcohol,647.0,6.0,2.0,0.333333333333
9.0,2.0,neutral,cigarette,647.0,6.0,0.0,0.0
9.0,2.0,neutral,neutral,647.0,6.0,4.0,0.666666666667
10.0,2.0,neutral,alcohol,647.0,0.0,0.0,
10.0,2.0,neutral,cigarette,647.0,0.0,0.0,
10.0,2.0,neutral,neutral,647.0,0.0,0.0,
11.0,2.0,neutral,alcohol,647.0,0.0,0.0,
11.0,2.0,neutral,cigarette,647.0,0.0,0.0,
