sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,cigarette,alcohol,1881.0,1.0,1.0,1.0
1.0,1.0,cigarette,cigarette,1881.0,1.0,0.0,0.0
1.0,1.0,cigarette,neutral,1881.0,1.0,0.0,0.0
2.0,1.0,cigarette,alcohol,1881.0,0.0,0.0,
2.0,1.0,cigarette,cigarette,1881.0,0.0,0.0,
2.0,1.0,cigarette,neutral,1881.0,0.0,0.0,
3.0,1.0,cigarette,alcohol,1881.0,2.0,1.0,0.5
3.0,1.0,cigarette,cigarette,1881.0,2.0,0.0,0.0
3.0,1.0,cigarette,neutral,1881.0,2.0,1.0,0.5
4.0,1.0,cigarette,alcohol,1881.0,0.0,0.0,
4.0,1.0,cigarette,cigarette,1881.0,0.0,0.0,
4.0,1.0,cigarette,neutral,1881.0,0.0,0.0,
5.0,1.0,cigarette,alcohol,1881.0,1.0,0.0,0.0
5.0,1.0,cigarette,cigarette,1881.0,1.0,1.0,1.0
5.0,1.0,cigarette,neutral,1881.0,1.0,0.0,0.0
6.0,1.0,cigarette,alcohol,1881.0,15.0,1.0,0.0666666666667
6.0,1.0,cigarette,cigarette,1881.0,15.0,13.0,0.866666666667
6.0,1.0,cigarette,neutral,1881.0,15.0,1.0,0.0666666666667
7.0,1.0,cigarette,alcohol,1881.0,0.0,0.0,
7.0,1.0,cigarette,cigarette,1881.0,0.0,0.0,
7.0,1.0,cigarette,neutral,1881.0,0.0,0.0,
8.0,1.0,cigarette,alcohol,1881.0,0.0,0.0,
8.0,1.0,cigarette,cigarette,1881.0,0.0,0.0,
8.0,1.0,cigarette,neutral,1881.0,0.0,0.0,
9.0,1.0,cigarette,alcohol,1881.0,0.0,0.0,
9.0,1.0,cigarette,cigarette,1881.0,0.0,0.0,
9.0,1.0,cigarette,neutral,1881.0,0.0,0.0,
10.0,1.0,cigarette,alcohol,1881.0,1.0,0.0,0.0
10.0,1.0,cigarette,cigarette,1881.0,1.0,1.0,1.0
10.0,1.0,cigarette,neutral,1881.0,1.0,0.0,0.0
11.0,1.0,cigarette,alcohol,1881.0,1.0,0.0,0.0
11.0,1.0,cigarette,cigarette,1881.0,1.0,1.0,1.0
11.0,1.0,cigarette,neutral,1881.0,1.0,0.0,0.0
12.0,1.0,cigarette,alcohol,1881.0,1.0,1.0,1.0
12.0,1.0,cigarette,cigarette,1881.0,1.0,0.0,0.0
12.0,1.0,cigarette,neutral,1881.0,1.0,0.0,0.0
13.0,1.0,cigarette,alcohol,1881.0,9.0,1.0,0.111111111111
13.0,1.0,cigarette,cigarette,1881.0,9.0,6.0,0.666666666667
13.0,1.0,cigarette,neutral,1881.0,9.0,2.0,0.222222222222
14.0,1.0,cigarette,alcohol,1881.0,1.0,0.0,0.0
14.0,1.0,cigarette,cigarette,1881.0,1.0,1.0,1.0
14.0,1.0,cigarette,neutral,1881.0,1.0,0.0,0.0
15.0,1.0,cigarette,alcohol,1881.0,3.0,2.0,0.666666666667
15.0,1.0,cigarette,cigarette,1881.0,3.0,0.0,0.0
15.0,1.0,cigarette,neutral,1881.0,3.0,1.0,0.333333333333
16.0,1.0,cigarette,alcohol,1881.0,1.0,0.0,0.0
16.0,1.0,cigarette,cigarette,1881.0,1.0,0.0,0.0
16.0,1.0,cigarette,neutral,1881.0,1.0,1.0,1.0
17.0,1.0,cigarette,alcohol,1881.0,1.0,0.0,0.0
17.0,1.0,cigarette,cigarette,1881.0,1.0,1.0,1.0
17.0,1.0,cigarette,neutral,1881.0,1.0,0.0,0.0
18.0,1.0,cigarette,alcohol,1881.0,4.0,0.0,0.0
18.0,1.0,cigarette,cigarette,1881.0,4.0,2.0,0.5
18.0,1.0,cigarette,neutral,1881.0,4.0,2.0,0.5
19.0,1.0,cigarette,alcohol,1881.0,0.0,0.0,
19.0,1.0,cigarette,cigarette,1881.0,0.0,0.0,
19.0,1.0,cigarette,neutral,1881.0,0.0,0.0,
20.0,1.0,cigarette,alcohol,1881.0,5.0,0.0,0.0
20.0,1.0,cigarette,cigarette,1881.0,5.0,4.0,0.8
20.0,1.0,cigarette,neutral,1881.0,5.0,1.0,0.2
21.0,1.0,cigarette,alcohol,1881.0,0.0,0.0,
21.0,1.0,cigarette,cigarette,1881.0,0.0,0.0,
21.0,1.0,cigarette,neutral,1881.0,0.0,0.0,
22.0,1.0,cigarette,alcohol,1881.0,1.0,0.0,0.0
22.0,1.0,cigarette,cigarette,1881.0,1.0,1.0,1.0
22.0,1.0,cigarette,neutral,1881.0,1.0,0.0,0.0
23.0,1.0,cigarette,alcohol,1881.0,0.0,0.0,
23.0,1.0,cigarette,cigarette,1881.0,0.0,0.0,
23.0,1.0,cigarette,neutral,1881.0,0.0,0.0,
24.0,1.0,cigarette,alcohol,1881.0,1.0,1.0,1.0
24.0,1.0,cigarette,cigarette,1881.0,1.0,0.0,0.0
24.0,1.0,cigarette,neutral,1881.0,1.0,0.0,0.0
25.0,1.0,cigarette,alcohol,1881.0,5.0,1.0,0.2
25.0,1.0,cigarette,cigarette,1881.0,5.0,3.0,0.6
25.0,1.0,cigarette,neutral,1881.0,5.0,1.0,0.2
26.0,1.0,cigarette,alcohol,1881.0,7.0,0.0,0.0
26.0,1.0,cigarette,cigarette,1881.0,7.0,5.0,0.714285714286
26.0,1.0,cigarette,neutral,1881.0,7.0,2.0,0.285714285714
27.0,1.0,cigarette,alcohol,1881.0,5.0,1.0,0.2
27.0,1.0,cigarette,cigarette,1881.0,5.0,3.0,0.6
27.0,1.0,cigarette,neutral,1881.0,5.0,1.0,0.2
28.0,1.0,cigarette,alcohol,1881.0,4.0,1.0,0.25
28.0,1.0,cigarette,cigarette,1881.0,4.0,3.0,0.75
28.0,1.0,cigarette,neutral,1881.0,4.0,0.0,0.0
29.0,1.0,cigarette,alcohol,1881.0,47.0,15.0,0.31914893617
29.0,1.0,cigarette,cigarette,1881.0,47.0,23.0,0.489361702128
29.0,1.0,cigarette,neutral,1881.0,47.0,9.0,0.191489361702
