sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,alcohol,alcohol,926.0,5.0,5.0,1.0
1.0,1.0,alcohol,cigarette,926.0,5.0,0.0,0.0
1.0,1.0,alcohol,neutral,926.0,5.0,0.0,0.0
2.0,1.0,alcohol,alcohol,926.0,7.0,5.0,0.714285714286
2.0,1.0,alcohol,cigarette,926.0,7.0,0.0,0.0
2.0,1.0,alcohol,neutral,926.0,7.0,2.0,0.285714285714
3.0,1.0,alcohol,alcohol,926.0,6.0,3.0,0.5
3.0,1.0,alcohol,cigarette,926.0,6.0,1.0,0.166666666667
3.0,1.0,alcohol,neutral,926.0,6.0,2.0,0.333333333333
4.0,1.0,alcohol,alcohol,926.0,0.0,0.0,
4.0,1.0,alcohol,cigarette,926.0,0.0,0.0,
4.0,1.0,alcohol,neutral,926.0,0.0,0.0,
5.0,1.0,alcohol,alcohol,926.0,6.0,6.0,1.0
5.0,1.0,alcohol,cigarette,926.0,6.0,0.0,0.0
5.0,1.0,alcohol,neutral,926.0,6.0,0.0,0.0
6.0,1.0,alcohol,alcohol,926.0,0.0,0.0,
6.0,1.0,alcohol,cigarette,926.0,0.0,0.0,
6.0,1.0,alcohol,neutral,926.0,0.0,0.0,
7.0,1.0,alcohol,alcohol,926.0,0.0,0.0,
7.0,1.0,alcohol,cigarette,926.0,0.0,0.0,
7.0,1.0,alcohol,neutral,926.0,0.0,0.0,
8.0,1.0,alcohol,alcohol,926.0,2.0,1.0,0.5
8.0,1.0,alcohol,cigarette,926.0,2.0,0.0,0.0
8.0,1.0,alcohol,neutral,926.0,2.0,1.0,0.5
9.0,1.0,alcohol,alcohol,926.0,5.0,2.0,0.4
9.0,1.0,alcohol,cigarette,926.0,5.0,1.0,0.2
9.0,1.0,alcohol,neutral,926.0,5.0,2.0,0.4
10.0,1.0,alcohol,alcohol,926.0,4.0,3.0,0.75
10.0,1.0,alcohol,cigarette,926.0,4.0,0.0,0.0
10.0,1.0,alcohol,neutral,926.0,4.0,1.0,0.25
11.0,1.0,alcohol,alcohol,926.0,53.0,28.0,0.528301886792
11.0,1.0,alcohol,cigarette,926.0,53.0,18.0,0.339622641509
11.0,1.0,alcohol,neutral,926.0,53.0,7.0,0.132075471698
12.0,1.0,alcohol,alcohol,926.0,11.0,8.0,0.727272727273
12.0,1.0,alcohol,cigarette,926.0,11.0,1.0,0.0909090909091
12.0,1.0,alcohol,neutral,926.0,11.0,2.0,0.181818181818
13.0,1.0,alcohol,alcohol,926.0,0.0,0.0,
13.0,1.0,alcohol,cigarette,926.0,0.0,0.0,
13.0,1.0,alcohol,neutral,926.0,0.0,0.0,
14.0,1.0,alcohol,alcohol,926.0,20.0,19.0,0.95
14.0,1.0,alcohol,cigarette,926.0,20.0,1.0,0.05
14.0,1.0,alcohol,neutral,926.0,20.0,0.0,0.0
15.0,1.0,alcohol,alcohol,926.0,0.0,0.0,
15.0,1.0,alcohol,cigarette,926.0,0.0,0.0,
15.0,1.0,alcohol,neutral,926.0,0.0,0.0,
16.0,1.0,alcohol,alcohol,926.0,2.0,1.0,0.5
16.0,1.0,alcohol,cigarette,926.0,2.0,0.0,0.0
16.0,1.0,alcohol,neutral,926.0,2.0,1.0,0.5
17.0,1.0,alcohol,alcohol,926.0,4.0,2.0,0.5
17.0,1.0,alcohol,cigarette,926.0,4.0,0.0,0.0
17.0,1.0,alcohol,neutral,926.0,4.0,2.0,0.5
18.0,1.0,alcohol,alcohol,926.0,0.0,0.0,
18.0,1.0,alcohol,cigarette,926.0,0.0,0.0,
18.0,1.0,alcohol,neutral,926.0,0.0,0.0,
19.0,1.0,alcohol,alcohol,926.0,9.0,8.0,0.888888888889
19.0,1.0,alcohol,cigarette,926.0,9.0,1.0,0.111111111111
19.0,1.0,alcohol,neutral,926.0,9.0,0.0,0.0
20.0,1.0,alcohol,alcohol,926.0,24.0,17.0,0.708333333333
20.0,1.0,alcohol,cigarette,926.0,24.0,2.0,0.0833333333333
20.0,1.0,alcohol,neutral,926.0,24.0,5.0,0.208333333333
21.0,1.0,alcohol,alcohol,926.0,0.0,0.0,
21.0,1.0,alcohol,cigarette,926.0,0.0,0.0,
21.0,1.0,alcohol,neutral,926.0,0.0,0.0,
22.0,1.0,alcohol,alcohol,926.0,5.0,3.0,0.6
22.0,1.0,alcohol,cigarette,926.0,5.0,2.0,0.4
22.0,1.0,alcohol,neutral,926.0,5.0,0.0,0.0
23.0,1.0,alcohol,alcohol,926.0,1.0,1.0,1.0
23.0,1.0,alcohol,cigarette,926.0,1.0,0.0,0.0
23.0,1.0,alcohol,neutral,926.0,1.0,0.0,0.0
24.0,1.0,alcohol,alcohol,926.0,4.0,1.0,0.25
24.0,1.0,alcohol,cigarette,926.0,4.0,2.0,0.5
24.0,1.0,alcohol,neutral,926.0,4.0,1.0,0.25
25.0,1.0,alcohol,alcohol,926.0,21.0,9.0,0.428571428571
25.0,1.0,alcohol,cigarette,926.0,21.0,2.0,0.0952380952381
25.0,1.0,alcohol,neutral,926.0,21.0,10.0,0.47619047619
26.0,1.0,alcohol,alcohol,926.0,1.0,0.0,0.0
26.0,1.0,alcohol,cigarette,926.0,1.0,1.0,1.0
26.0,1.0,alcohol,neutral,926.0,1.0,0.0,0.0
27.0,1.0,alcohol,alcohol,926.0,0.0,0.0,
27.0,1.0,alcohol,cigarette,926.0,0.0,0.0,
27.0,1.0,alcohol,neutral,926.0,0.0,0.0,
28.0,1.0,alcohol,alcohol,926.0,11.0,10.0,0.909090909091
28.0,1.0,alcohol,cigarette,926.0,11.0,1.0,0.0909090909091
28.0,1.0,alcohol,neutral,926.0,11.0,0.0,0.0
29.0,1.0,alcohol,alcohol,926.0,20.0,8.0,0.4
29.0,1.0,alcohol,cigarette,926.0,20.0,6.0,0.3
29.0,1.0,alcohol,neutral,926.0,20.0,6.0,0.3
1.0,1.0,cigarette,alcohol,926.0,3.0,2.0,0.666666666667
1.0,1.0,cigarette,cigarette,926.0,3.0,0.0,0.0
1.0,1.0,cigarette,neutral,926.0,3.0,1.0,0.333333333333
2.0,1.0,cigarette,alcohol,926.0,1.0,1.0,1.0
2.0,1.0,cigarette,cigarette,926.0,1.0,0.0,0.0
2.0,1.0,cigarette,neutral,926.0,1.0,0.0,0.0
3.0,1.0,cigarette,alcohol,926.0,10.0,5.0,0.5
3.0,1.0,cigarette,cigarette,926.0,10.0,0.0,0.0
3.0,1.0,cigarette,neutral,926.0,10.0,5.0,0.5
4.0,1.0,cigarette,alcohol,926.0,0.0,0.0,
4.0,1.0,cigarette,cigarette,926.0,0.0,0.0,
4.0,1.0,cigarette,neutral,926.0,0.0,0.0,
5.0,1.0,cigarette,alcohol,926.0,7.0,2.0,0.285714285714
5.0,1.0,cigarette,cigarette,926.0,7.0,2.0,0.285714285714
5.0,1.0,cigarette,neutral,926.0,7.0,3.0,0.428571428571
6.0,1.0,cigarette,alcohol,926.0,25.0,11.0,0.44
6.0,1.0,cigarette,cigarette,926.0,25.0,6.0,0.24
6.0,1.0,cigarette,neutral,926.0,25.0,8.0,0.32
7.0,1.0,cigarette,alcohol,926.0,1.0,1.0,1.0
7.0,1.0,cigarette,cigarette,926.0,1.0,0.0,0.0
7.0,1.0,cigarette,neutral,926.0,1.0,0.0,0.0
8.0,1.0,cigarette,alcohol,926.0,4.0,2.0,0.5
8.0,1.0,cigarette,cigarette,926.0,4.0,2.0,0.5
8.0,1.0,cigarette,neutral,926.0,4.0,0.0,0.0
9.0,1.0,cigarette,alcohol,926.0,1.0,1.0,1.0
9.0,1.0,cigarette,cigarette,926.0,1.0,0.0,0.0
9.0,1.0,cigarette,neutral,926.0,1.0,0.0,0.0
10.0,1.0,cigarette,alcohol,926.0,7.0,4.0,0.571428571429
10.0,1.0,cigarette,cigarette,926.0,7.0,1.0,0.142857142857
10.0,1.0,cigarette,neutral,926.0,7.0,2.0,0.285714285714
11.0,1.0,cigarette,alcohol,926.0,9.0,0.0,0.0
11.0,1.0,cigarette,cigarette,926.0,9.0,9.0,1.0
11.0,1.0,cigarette,neutral,926.0,9.0,0.0,0.0
12.0,1.0,cigarette,alcohol,926.0,1.0,1.0,1.0
12.0,1.0,cigarette,cigarette,926.0,1.0,0.0,0.0
12.0,1.0,cigarette,neutral,926.0,1.0,0.0,0.0
13.0,1.0,cigarette,alcohol,926.0,19.0,9.0,0.473684210526
13.0,1.0,cigarette,cigarette,926.0,19.0,8.0,0.421052631579
13.0,1.0,cigarette,neutral,926.0,19.0,2.0,0.105263157895
14.0,1.0,cigarette,alcohol,926.0,18.0,11.0,0.611111111111
14.0,1.0,cigarette,cigarette,926.0,18.0,7.0,0.388888888889
14.0,1.0,cigarette,neutral,926.0,18.0,0.0,0.0
15.0,1.0,cigarette,alcohol,926.0,0.0,0.0,
15.0,1.0,cigarette,cigarette,926.0,0.0,0.0,
15.0,1.0,cigarette,neutral,926.0,0.0,0.0,
16.0,1.0,cigarette,alcohol,926.0,5.0,0.0,0.0
16.0,1.0,cigarette,cigarette,926.0,5.0,5.0,1.0
16.0,1.0,cigarette,neutral,926.0,5.0,0.0,0.0
17.0,1.0,cigarette,alcohol,926.0,9.0,1.0,0.111111111111
17.0,1.0,cigarette,cigarette,926.0,9.0,7.0,0.777777777778
17.0,1.0,cigarette,neutral,926.0,9.0,1.0,0.111111111111
18.0,1.0,cigarette,alcohol,926.0,2.0,1.0,0.5
18.0,1.0,cigarette,cigarette,926.0,2.0,1.0,0.5
18.0,1.0,cigarette,neutral,926.0,2.0,0.0,0.0
19.0,1.0,cigarette,alcohol,926.0,3.0,1.0,0.333333333333
19.0,1.0,cigarette,cigarette,926.0,3.0,2.0,0.666666666667
19.0,1.0,cigarette,neutral,926.0,3.0,0.0,0.0
20.0,1.0,cigarette,alcohol,926.0,19.0,5.0,0.263157894737
20.0,1.0,cigarette,cigarette,926.0,19.0,10.0,0.526315789474
20.0,1.0,cigarette,neutral,926.0,19.0,4.0,0.210526315789
21.0,1.0,cigarette,alcohol,926.0,4.0,1.0,0.25
