sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,alcohol,alcohol,435.0,0.0,0.0,
1.0,3.0,alcohol,cigarette,435.0,0.0,0.0,
1.0,3.0,alcohol,neutral,435.0,0.0,0.0,
2.0,3.0,alcohol,alcohol,435.0,21.0,19.0,0.904761904762
2.0,3.0,alcohol,cigarette,435.0,21.0,1.0,0.047619047619
2.0,3.0,alcohol,neutral,435.0,21.0,1.0,0.047619047619
3.0,3.0,alcohol,alcohol,435.0,25.0,15.0,0.6
3.0,3.0,alcohol,cigarette,435.0,25.0,6.0,0.24
3.0,3.0,alcohol,neutral,435.0,25.0,4.0,0.16
4.0,3.0,alcohol,alcohol,435.0,0.0,0.0,
4.0,3.0,alcohol,cigarette,435.0,0.0,0.0,
4.0,3.0,alcohol,neutral,435.0,0.0,0.0,
5.0,3.0,alcohol,alcohol,435.0,3.0,2.0,0.666666666667
5.0,3.0,alcohol,cigarette,435.0,3.0,0.0,0.0
5.0,3.0,alcohol,neutral,435.0,3.0,1.0,0.333333333333
6.0,3.0,alcohol,alcohol,435.0,0.0,0.0,
6.0,3.0,alcohol,cigarette,435.0,0.0,0.0,
6.0,3.0,alcohol,neutral,435.0,0.0,0.0,
7.0,3.0,alcohol,alcohol,435.0,0.0,0.0,
7.0,3.0,alcohol,cigarette,435.0,0.0,0.0,
7.0,3.0,alcohol,neutral,435.0,0.0,0.0,
8.0,3.0,alcohol,alcohol,435.0,4.0,3.0,0.75
8.0,3.0,alcohol,cigarette,435.0,4.0,0.0,0.0
8.0,3.0,alcohol,neutral,435.0,4.0,1.0,0.25
9.0,3.0,alcohol,alcohol,435.0,13.0,6.0,0.461538461538
9.0,3.0,alcohol,cigarette,435.0,13.0,5.0,0.384615384615
9.0,3.0,alcohol,neutral,435.0,13.0,2.0,0.153846153846
10.0,3.0,alcohol,alcohol,435.0,15.0,4.0,0.266666666667
10.0,3.0,alcohol,cigarette,435.0,15.0,10.0,0.666666666667
10.0,3.0,alcohol,neutral,435.0,15.0,1.0,0.0666666666667
