sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,alcohol,alcohol,982.0,4.0,2.0,0.5
1.0,3.0,alcohol,cigarette,982.0,4.0,2.0,0.5
1.0,3.0,alcohol,neutral,982.0,4.0,0.0,0.0
2.0,3.0,alcohol,alcohol,982.0,4.0,2.0,0.5
2.0,3.0,alcohol,cigarette,982.0,4.0,1.0,0.25
2.0,3.0,alcohol,neutral,982.0,4.0,1.0,0.25
3.0,3.0,alcohol,alcohol,982.0,10.0,4.0,0.4
3.0,3.0,alcohol,cigarette,982.0,10.0,2.0,0.2
3.0,3.0,alcohol,neutral,982.0,10.0,4.0,0.4
4.0,3.0,alcohol,alcohol,982.0,0.0,0.0,
4.0,3.0,alcohol,cigarette,982.0,0.0,0.0,
4.0,3.0,alcohol,neutral,982.0,0.0,0.0,
5.0,3.0,alcohol,alcohol,982.0,12.0,5.0,0.416666666667
5.0,3.0,alcohol,cigarette,982.0,12.0,3.0,0.25
5.0,3.0,alcohol,neutral,982.0,12.0,4.0,0.333333333333
6.0,3.0,alcohol,alcohol,982.0,0.0,0.0,
6.0,3.0,alcohol,cigarette,982.0,0.0,0.0,
6.0,3.0,alcohol,neutral,982.0,0.0,0.0,
7.0,3.0,alcohol,alcohol,982.0,0.0,0.0,
7.0,3.0,alcohol,cigarette,982.0,0.0,0.0,
7.0,3.0,alcohol,neutral,982.0,0.0,0.0,
8.0,3.0,alcohol,alcohol,982.0,1.0,1.0,1.0
8.0,3.0,alcohol,cigarette,982.0,1.0,0.0,0.0
8.0,3.0,alcohol,neutral,982.0,1.0,0.0,0.0
9.0,3.0,alcohol,alcohol,982.0,8.0,7.0,0.875
9.0,3.0,alcohol,cigarette,982.0,8.0,0.0,0.0
9.0,3.0,alcohol,neutral,982.0,8.0,1.0,0.125
10.0,3.0,alcohol,alcohol,982.0,20.0,11.0,0.55
10.0,3.0,alcohol,cigarette,982.0,20.0,2.0,0.1
10.0,3.0,alcohol,neutral,982.0,20.0,7.0,0.35
11.0,3.0,alcohol,alcohol,982.0,19.0,15.0,0.789473684211
11.0,3.0,alcohol,cigarette,982.0,19.0,2.0,0.105263157895
11.0,3.0,alcohol,neutral,982.0,19.0,2.0,0.105263157895
12.0,3.0,alcohol,alcohol,982.0,7.0,5.0,0.714285714286
12.0,3.0,alcohol,cigarette,982.0,7.0,0.0,0.0
12.0,3.0,alcohol,neutral,982.0,7.0,2.0,0.285714285714
13.0,3.0,alcohol,alcohol,982.0,0.0,0.0,
13.0,3.0,alcohol,cigarette,982.0,0.0,0.0,
13.0,3.0,alcohol,neutral,982.0,0.0,0.0,
14.0,3.0,alcohol,alcohol,982.0,24.0,16.0,0.666666666667
14.0,3.0,alcohol,cigarette,982.0,24.0,6.0,0.25
14.0,3.0,alcohol,neutral,982.0,24.0,2.0,0.0833333333333
15.0,3.0,alcohol,alcohol,982.0,0.0,0.0,
15.0,3.0,alcohol,cigarette,982.0,0.0,0.0,
15.0,3.0,alcohol,neutral,982.0,0.0,0.0,
16.0,3.0,alcohol,alcohol,982.0,1.0,1.0,1.0
16.0,3.0,alcohol,cigarette,982.0,1.0,0.0,0.0
16.0,3.0,alcohol,neutral,982.0,1.0,0.0,0.0
17.0,3.0,alcohol,alcohol,982.0,7.0,4.0,0.571428571429
17.0,3.0,alcohol,cigarette,982.0,7.0,1.0,0.142857142857
17.0,3.0,alcohol,neutral,982.0,7.0,2.0,0.285714285714
18.0,3.0,alcohol,alcohol,982.0,22.0,11.0,0.5
18.0,3.0,alcohol,cigarette,982.0,22.0,6.0,0.272727272727
18.0,3.0,alcohol,neutral,982.0,22.0,5.0,0.227272727273
19.0,3.0,alcohol,alcohol,982.0,6.0,5.0,0.833333333333
19.0,3.0,alcohol,cigarette,982.0,6.0,1.0,0.166666666667
19.0,3.0,alcohol,neutral,982.0,6.0,0.0,0.0
20.0,3.0,alcohol,alcohol,982.0,13.0,5.0,0.384615384615
20.0,3.0,alcohol,cigarette,982.0,13.0,2.0,0.153846153846
20.0,3.0,alcohol,neutral,982.0,13.0,6.0,0.461538461538
21.0,3.0,alcohol,alcohol,982.0,4.0,3.0,0.75
21.0,3.0,alcohol,cigarette,982.0,4.0,1.0,0.25
21.0,3.0,alcohol,neutral,982.0,4.0,0.0,0.0
22.0,3.0,alcohol,alcohol,982.0,9.0,4.0,0.444444444444
