sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,cigarette,alcohol,217.0,0.0,0.0,
1.0,4.0,cigarette,cigarette,217.0,0.0,0.0,
1.0,4.0,cigarette,neutral,217.0,0.0,0.0,
2.0,4.0,cigarette,alcohol,217.0,7.0,0.0,0.0
2.0,4.0,cigarette,cigarette,217.0,7.0,2.0,0.285714285714
2.0,4.0,cigarette,neutral,217.0,7.0,5.0,0.714285714286
3.0,4.0,cigarette,alcohol,217.0,0.0,0.0,
3.0,4.0,cigarette,cigarette,217.0,0.0,0.0,
3.0,4.0,cigarette,neutral,217.0,0.0,0.0,
4.0,4.0,cigarette,alcohol,217.0,0.0,0.0,
4.0,4.0,cigarette,cigarette,217.0,0.0,0.0,
4.0,4.0,cigarette,neutral,217.0,0.0,0.0,
5.0,4.0,cigarette,alcohol,217.0,7.0,2.0,0.285714285714
5.0,4.0,cigarette,cigarette,217.0,7.0,1.0,0.142857142857
5.0,4.0,cigarette,neutral,217.0,7.0,4.0,0.571428571429
6.0,4.0,cigarette,alcohol,217.0,11.0,4.0,0.363636363636
6.0,4.0,cigarette,cigarette,217.0,11.0,7.0,0.636363636364
6.0,4.0,cigarette,neutral,217.0,11.0,0.0,0.0
7.0,4.0,cigarette,alcohol,217.0,3.0,2.0,0.666666666667
7.0,4.0,cigarette,cigarette,217.0,3.0,1.0,0.333333333333
7.0,4.0,cigarette,neutral,217.0,3.0,0.0,0.0
8.0,4.0,cigarette,alcohol,217.0,2.0,1.0,0.5
8.0,4.0,cigarette,cigarette,217.0,2.0,0.0,0.0
8.0,4.0,cigarette,neutral,217.0,2.0,1.0,0.5
9.0,4.0,cigarette,alcohol,217.0,1.0,0.0,0.0
9.0,4.0,cigarette,cigarette,217.0,1.0,1.0,1.0
9.0,4.0,cigarette,neutral,217.0,1.0,0.0,0.0
10.0,4.0,cigarette,alcohol,217.0,1.0,1.0,1.0
10.0,4.0,cigarette,cigarette,217.0,1.0,0.0,0.0
10.0,4.0,cigarette,neutral,217.0,1.0,0.0,0.0
11.0,4.0,cigarette,alcohol,217.0,11.0,1.0,0.0909090909091
11.0,4.0,cigarette,cigarette,217.0,11.0,8.0,0.727272727273
11.0,4.0,cigarette,neutral,217.0,11.0,2.0,0.181818181818
12.0,4.0,cigarette,alcohol,217.0,1.0,1.0,1.0
12.0,4.0,cigarette,cigarette,217.0,1.0,0.0,0.0
12.0,4.0,cigarette,neutral,217.0,1.0,0.0,0.0
13.0,4.0,cigarette,alcohol,217.0,0.0,0.0,
13.0,4.0,cigarette,cigarette,217.0,0.0,0.0,
13.0,4.0,cigarette,neutral,217.0,0.0,0.0,
14.0,4.0,cigarette,alcohol,217.0,1.0,1.0,1.0
14.0,4.0,cigarette,cigarette,217.0,1.0,0.0,0.0
14.0,4.0,cigarette,neutral,217.0,1.0,0.0,0.0
15.0,4.0,cigarette,alcohol,217.0,13.0,3.0,0.230769230769
15.0,4.0,cigarette,cigarette,217.0,13.0,8.0,0.615384615385
15.0,4.0,cigarette,neutral,217.0,13.0,2.0,0.153846153846
16.0,4.0,cigarette,alcohol,217.0,2.0,1.0,0.5
16.0,4.0,cigarette,cigarette,217.0,2.0,1.0,0.5
16.0,4.0,cigarette,neutral,217.0,2.0,0.0,0.0
17.0,4.0,cigarette,alcohol,217.0,0.0,0.0,
17.0,4.0,cigarette,cigarette,217.0,0.0,0.0,
17.0,4.0,cigarette,neutral,217.0,0.0,0.0,
18.0,4.0,cigarette,alcohol,217.0,1.0,0.0,0.0
18.0,4.0,cigarette,cigarette,217.0,1.0,1.0,1.0
18.0,4.0,cigarette,neutral,217.0,1.0,0.0,0.0
19.0,4.0,cigarette,alcohol,217.0,0.0,0.0,
19.0,4.0,cigarette,cigarette,217.0,0.0,0.0,
19.0,4.0,cigarette,neutral,217.0,0.0,0.0,
20.0,4.0,cigarette,alcohol,217.0,3.0,1.0,0.333333333333
20.0,4.0,cigarette,cigarette,217.0,3.0,1.0,0.333333333333
20.0,4.0,cigarette,neutral,217.0,3.0,1.0,0.333333333333
21.0,4.0,cigarette,alcohol,217.0,1.0,0.0,0.0
21.0,4.0,cigarette,cigarette,217.0,1.0,1.0,1.0
21.0,4.0,cigarette,neutral,217.0,1.0,0.0,0.0
22.0,4.0,cigarette,alcohol,217.0,3.0,0.0,0.0
22.0,4.0,cigarette,cigarette,217.0,3.0,2.0,0.666666666667
22.0,4.0,cigarette,neutral,217.0,3.0,1.0,0.333333333333
23.0,4.0,cigarette,alcohol,217.0,2.0,1.0,0.5
23.0,4.0,cigarette,cigarette,217.0,2.0,1.0,0.5
23.0,4.0,cigarette,neutral,217.0,2.0,0.0,0.0
24.0,4.0,cigarette,alcohol,217.0,6.0,3.0,0.5
24.0,4.0,cigarette,cigarette,217.0,6.0,2.0,0.333333333333
24.0,4.0,cigarette,neutral,217.0,6.0,1.0,0.166666666667
25.0,4.0,cigarette,alcohol,217.0,0.0,0.0,
25.0,4.0,cigarette,cigarette,217.0,0.0,0.0,
25.0,4.0,cigarette,neutral,217.0,0.0,0.0,
26.0,4.0,cigarette,alcohol,217.0,1.0,0.0,0.0
26.0,4.0,cigarette,cigarette,217.0,1.0,0.0,0.0
26.0,4.0,cigarette,neutral,217.0,1.0,1.0,1.0
27.0,4.0,cigarette,alcohol,217.0,4.0,2.0,0.5
27.0,4.0,cigarette,cigarette,217.0,4.0,2.0,0.5
27.0,4.0,cigarette,neutral,217.0,4.0,0.0,0.0
28.0,4.0,cigarette,alcohol,217.0,3.0,2.0,0.666666666667
28.0,4.0,cigarette,cigarette,217.0,3.0,1.0,0.333333333333
28.0,4.0,cigarette,neutral,217.0,3.0,0.0,0.0
29.0,4.0,cigarette,alcohol,217.0,6.0,1.0,0.166666666667
29.0,4.0,cigarette,cigarette,217.0,6.0,2.0,0.333333333333
