sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
1.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
1.0,4.0,alcohol,neutral,244.0,0.0,0.0,
2.0,4.0,alcohol,alcohol,244.0,1.0,0.0,0.0
2.0,4.0,alcohol,cigarette,244.0,1.0,1.0,1.0
2.0,4.0,alcohol,neutral,244.0,1.0,0.0,0.0
3.0,4.0,alcohol,alcohol,244.0,5.0,0.0,0.0
3.0,4.0,alcohol,cigarette,244.0,5.0,4.0,0.8
3.0,4.0,alcohol,neutral,244.0,5.0,1.0,0.2
4.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
4.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
4.0,4.0,alcohol,neutral,244.0,0.0,0.0,
5.0,4.0,alcohol,alcohol,244.0,2.0,0.0,0.0
5.0,4.0,alcohol,cigarette,244.0,2.0,1.0,0.5
5.0,4.0,alcohol,neutral,244.0,2.0,1.0,0.5
6.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
6.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
6.0,4.0,alcohol,neutral,244.0,0.0,0.0,
7.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
7.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
7.0,4.0,alcohol,neutral,244.0,0.0,0.0,
8.0,4.0,alcohol,alcohol,244.0,4.0,2.0,0.5
8.0,4.0,alcohol,cigarette,244.0,4.0,2.0,0.5
8.0,4.0,alcohol,neutral,244.0,4.0,0.0,0.0
9.0,4.0,alcohol,alcohol,244.0,1.0,0.0,0.0
9.0,4.0,alcohol,cigarette,244.0,1.0,1.0,1.0
9.0,4.0,alcohol,neutral,244.0,1.0,0.0,0.0
10.0,4.0,alcohol,alcohol,244.0,13.0,4.0,0.307692307692
10.0,4.0,alcohol,cigarette,244.0,13.0,8.0,0.615384615385
10.0,4.0,alcohol,neutral,244.0,13.0,1.0,0.0769230769231
11.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
11.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
11.0,4.0,alcohol,neutral,244.0,0.0,0.0,
12.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
12.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
12.0,4.0,alcohol,neutral,244.0,0.0,0.0,
13.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
13.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
13.0,4.0,alcohol,neutral,244.0,0.0,0.0,
14.0,4.0,alcohol,alcohol,244.0,10.0,4.0,0.4
14.0,4.0,alcohol,cigarette,244.0,10.0,5.0,0.5
14.0,4.0,alcohol,neutral,244.0,10.0,1.0,0.1
15.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
15.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
15.0,4.0,alcohol,neutral,244.0,0.0,0.0,
16.0,4.0,alcohol,alcohol,244.0,1.0,1.0,1.0
16.0,4.0,alcohol,cigarette,244.0,1.0,0.0,0.0
16.0,4.0,alcohol,neutral,244.0,1.0,0.0,0.0
17.0,4.0,alcohol,alcohol,244.0,1.0,0.0,0.0
17.0,4.0,alcohol,cigarette,244.0,1.0,1.0,1.0
17.0,4.0,alcohol,neutral,244.0,1.0,0.0,0.0
18.0,4.0,alcohol,alcohol,244.0,4.0,1.0,0.25
18.0,4.0,alcohol,cigarette,244.0,4.0,3.0,0.75
18.0,4.0,alcohol,neutral,244.0,4.0,0.0,0.0
19.0,4.0,alcohol,alcohol,244.0,5.0,2.0,0.4
19.0,4.0,alcohol,cigarette,244.0,5.0,2.0,0.4
19.0,4.0,alcohol,neutral,244.0,5.0,1.0,0.2
20.0,4.0,alcohol,alcohol,244.0,5.0,2.0,0.4
20.0,4.0,alcohol,cigarette,244.0,5.0,0.0,0.0
20.0,4.0,alcohol,neutral,244.0,5.0,3.0,0.6
21.0,4.0,alcohol,alcohol,244.0,1.0,1.0,1.0
21.0,4.0,alcohol,cigarette,244.0,1.0,0.0,0.0
21.0,4.0,alcohol,neutral,244.0,1.0,0.0,0.0
22.0,4.0,alcohol,alcohol,244.0,4.0,0.0,0.0
22.0,4.0,alcohol,cigarette,244.0,4.0,3.0,0.75
22.0,4.0,alcohol,neutral,244.0,4.0,1.0,0.25
23.0,4.0,alcohol,alcohol,244.0,4.0,0.0,0.0
23.0,4.0,alcohol,cigarette,244.0,4.0,3.0,0.75
23.0,4.0,alcohol,neutral,244.0,4.0,1.0,0.25
24.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
24.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
24.0,4.0,alcohol,neutral,244.0,0.0,0.0,
25.0,4.0,alcohol,alcohol,244.0,10.0,4.0,0.4
25.0,4.0,alcohol,cigarette,244.0,10.0,5.0,0.5
25.0,4.0,alcohol,neutral,244.0,10.0,1.0,0.1
26.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
26.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
26.0,4.0,alcohol,neutral,244.0,0.0,0.0,
27.0,4.0,alcohol,alcohol,244.0,0.0,0.0,
27.0,4.0,alcohol,cigarette,244.0,0.0,0.0,
27.0,4.0,alcohol,neutral,244.0,0.0,0.0,
28.0,4.0,alcohol,alcohol,244.0,6.0,3.0,0.5
28.0,4.0,alcohol,cigarette,244.0,6.0,3.0,0.5
28.0,4.0,alcohol,neutral,244.0,6.0,0.0,0.0
29.0,4.0,alcohol,alcohol,244.0,7.0,3.0,0.428571428571
29.0,4.0,alcohol,cigarette,244.0,7.0,3.0,0.428571428571
29.0,4.0,alcohol,neutral,244.0,7.0,1.0,0.142857142857
1.0,4.0,cigarette,alcohol,244.0,0.0,0.0,
1.0,4.0,cigarette,cigarette,244.0,0.0,0.0,
