sub_id,trial_type,alc_avg_sustained_response,cig_avg_sustained_response,neu_avg_sustained_response,chose_alc_alc_avg_sustained_response,chose_alc_cig_avg_sustained_response,chose_alc_neu_avg_tsustained_response,chose_cig_alc_avg_sustained_response,chose_cig_cig_avg_sustained_response,chose_cig_neu_avg_sustained_response,chose_neu_alc_avg_sustained_response,chose_neu_cig_avg_sustained_response,chose_neu_neu_avg_sustained_response
cret03,high_pref,387.105263158,183.736842105,124.315789474,562.363636364,77.9090909091,78.5454545455,153.857142857,376.285714286,160.142857143,92.0,0.0,377.0
cret04,high_pref,345.081632653,118.714285714,45.3469387755,378.769230769,95.1282051282,41.0769230769,191.111111111,234.111111111,68.8888888889,417.0,0.0,0.0
cret05,high_pref,339.089552239,182.641791045,106.76119403,368.909090909,120.954545455,80.7045454545,282.043478261,300.652173913,156.608695652,,,
cret06,high_pref,251.769230769,40.1923076923,10.8461538462,257.64,37.52,11.28,105.0,107.0,0.0,,,
cret07,high_pref,416.772727273,248.136363636,195.090909091,667.714285714,189.142857143,98.1428571429,304.666666667,366.333333333,155.222222222,292.166666667,139.666666667,368.0
cret08,high_pref,274.346153846,525.076923077,148.807692308,,,,271.176470588,518.490196078,135.980392157,436.0,861.0,803.0
cret09,high_pref,26.65625,292.125,21.09375,,,,26.65625,292.125,21.09375,,,
cret10,high_pref,126.189189189,188.189189189,201.810810811,387.0,25.1428571429,121.714285714,68.5294117647,377.764705882,82.2352941176,61.1538461538,28.0769230769,401.307692308
cret11,high_pref,201.018867925,149.79245283,76.1320754717,304.535714286,96.2142857143,42.3214285714,107.928571429,277.571428571,48.7857142857,56.0,123.545454545,197.0
cret14,high_pref,186.2,246.369230769,112.184615385,373.75,258.75,106.5,176.8,237.833333333,114.433333333,0.0,709.0,0.0
cret15,high_pref,435.083333333,434.555555556,181.666666667,487.338709677,369.725806452,181.822580645,111.1,836.5,180.7,,,
cret16,high_pref,540.058823529,145.647058824,143.529411765,547.75,136.9375,121.75,417.0,285.0,492.0,,,
cret17,high_pref,192.166666667,241.742424242,376.954545455,,,,277.391304348,457.826086957,277.130434783,146.581395349,126.162790698,430.348837209
cret18,high_pref,411.790322581,299.096774194,92.1129032258,577.9,168.533333333,96.6666666667,256.0625,421.5,87.84375,,,
cret19,high_pref,3.08333333333,273.833333333,9.41666666667,,,,3.08333333333,273.833333333,9.41666666667,,,
cret21,high_pref,151.954545455,487.409090909,199.545454545,527.5,185.75,163.0,31.7142857143,647.0,48.0,197.25,230.5,766.5
cret22,high_pref,173.078947368,352.5,104.078947368,410.857142857,136.714285714,145.428571429,100.428571429,412.535714286,66.9642857143,296.333333333,295.666666667,354.0
cret24,high_pref,207.380952381,259.904761905,109.0,,,,207.380952381,259.904761905,109.0,,,
cret25,high_pref,268.46875,210.765625,103.40625,451.794117647,62.1176470588,57.6764705882,65.3333333333,432.125,103.5,42.1666666667,167.666666667,362.166666667
cret26,high_pref,479.64516129,393.806451613,234.806451613,729.0,271.903225806,215.870967742,257.576923077,575.269230769,203.692307692,88.4,206.0,514.0
cret27,high_pref,164.0,324.166666667,100.916666667,309.0,0.0,178.0,115.666666667,432.222222222,75.2222222222,,,
cret28,high_pref,227.042553191,242.021276596,70.4680851064,379.347826087,84.1304347826,73.8260869565,58.8695652174,410.434782609,70.1739130435,592.0,0.0,0.0
cret29,high_pref,199.078431373,139.352941176,102.058823529,337.16,24.96,114.68,27.8333333333,270.125,81.9166666667,528.0,0.0,186.0
cret30,high_pref,234.416666667,413.5,165.583333333,118.285714286,531.285714286,184.0,491.25,310.75,93.5,20.0,0.0,325.0
cret33,high_pref,373.944444444,247.319444444,219.944444444,397.42,168.66,201.66,268.736842105,441.421052632,226.263157895,649.0,329.0,484.666666667
cret36,high_pref,140.393939394,247.803030303,435.166666667,98.0,3332.0,339.0,405.947368421,610.263157895,277.0,31.6304347826,31.0434782609,502.586956522
cret37,high_pref,350.214285714,290.514285714,309.071428571,,,,476.041666667,368.958333333,405.791666667,284.565217391,249.586956522,258.608695652
cret38,high_pref,259.672131148,312.852459016,132.93442623,462.545454545,248.409090909,98.3181818182,151.457142857,370.371428571,114.571428571,90.75,164.0,484.0
cret39,high_pref,874.8,973.016666667,601.9,804.772727273,876.818181818,604.318181818,915.342105263,1028.71052632,600.5,,,
cret03,highC_lowA,277.333333333,399.666666667,156.0,,,,252.2,413.6,121.2,403.0,330.0,330.0
cret04,highC_lowA,319.368421053,228.368421053,150.105263158,328.0,313.5,0.0,318.352941176,218.352941176,167.764705882,,,
cret05,highC_lowA,344.964285714,233.214285714,208.714285714,641.833333333,208.0,244.833333333,255.904761905,234.285714286,184.904761905,434.0,362.0,492.0
cret06,highC_lowA,,,,,,,,,,,,
cret07,highC_lowA,436.384615385,176.461538462,97.8461538462,503.333333333,96.5555555556,117.333333333,232.5,489.0,0.0,339.0,223.5,108.0
cret08,highC_lowA,520.409090909,550.863636364,206.318181818,,,,520.409090909,550.863636364,206.318181818,,,
cret09,highC_lowA,78.2142857143,356.857142857,10.3571428571,,,,78.2142857143,356.857142857,10.3571428571,,,
cret10,highC_lowA,395.352941176,67.9411764706,134.058823529,611.5,52.6,97.2,176.333333333,138.333333333,134.666666667,19.25,53.5,225.75
cret11,highC_lowA,289.833333333,203.733333333,176.333333333,478.5,76.5,144.5,277.066666667,317.2,153.4,238.636363636,95.2727272727,219.181818182
cret14,highC_lowA,303.791666667,224.041666667,131.166666667,,,,303.791666667,224.041666667,131.166666667,,,
cret15,highC_lowA,509.612903226,406.419354839,317.290322581,456.0,570.0,42.0,511.4,400.966666667,326.466666667,,,
cret16,highC_lowA,381.0,196.4,216.2,,,,415.25,241.75,128.0,244.0,15.0,569.0
cret17,highC_lowA,234.24,277.2,396.36,,,,378.888888889,456.888888889,198.666666667,152.875,176.125,507.5625
cret18,highC_lowA,392.0,323.458333333,186.458333333,563.0,287.25,221.125,306.5,341.5625,169.125,,,
cret19,highC_lowA,157.0,243.0,0.0,,,,157.0,243.0,0.0,,,
cret21,highC_lowA,244.166666667,249.833333333,300.333333333,335.5,123.5,0.0,264.666666667,417.333333333,420.333333333,0.0,0.0,541.0
cret22,highC_lowA,191.6875,335.75,126.9375,733.5,210.0,277.0,123.076923077,380.923076923,84.8461538462,0.0,0.0,374.0
cret24,highC_lowA,295.0,150.666666667,280.166666667,,,,295.0,150.666666667,280.166666667,,,
cret25,highC_lowA,152.275862069,473.448275862,96.3103448276,,,,152.275862069,473.448275862,96.3103448276,,,
cret26,highC_lowA,743.45,478.3,372.6,1324.75,331.0,204.75,593.933333333,501.533333333,362.6,661.0,719.0,1194.0
cret27,highC_lowA,197.833333333,266.666666667,374.0,395.666666667,96.3333333333,533.0,0.0,437.0,215.0,,,
cret28,highC_lowA,152.214285714,370.428571429,69.7142857143,,,,152.214285714,370.428571429,69.7142857143,,,
cret29,highC_lowA,220.705882353,182.117647059,86.7647058824,276.8,146.2,60.4,197.333333333,197.083333333,97.75,,,
cret30,highC_lowA,404.2,325.8,116.0,,,,505.25,407.25,0.0,0.0,0.0,580.0
cret33,highC_lowA,490.137931034,276.724137931,174.413793103,606.6875,151.125,101.6875,385.3,454.6,195.9,218.0,353.666666667,490.666666667
cret36,highC_lowA,84.7083333333,111.0,398.541666667,,,,163.0,557.5,467.5,77.5909090909,70.4090909091,392.272727273
cret37,highC_lowA,342.259259259,338.111111111,297.074074074,,,,523.1,489.1,339.2,235.882352941,249.294117647,272.294117647
cret38,highC_lowA,180.52,356.24,157.8,794.0,331.0,234.5,126.772727273,346.090909091,119.636363636,136.0,630.0,844.0
cret39,highC_lowA,876.961538462,792.5,609.346153846,976.285714286,708.571428571,637.714285714,761.083333333,890.416666667,576.25,,,
cret03,lowC_highA,828.333333333,227.0,272.666666667,828.333333333,227.0,272.666666667,,,,,,
cret04,lowC_highA,367.136363636,54.5909090909,50.2727272727,367.136363636,54.5909090909,50.2727272727,,,,,,
cret05,lowC_highA,306.225806452,177.903225806,161.032258065,316.433333333,176.433333333,158.9,,,,0.0,222.0,225.0
cret06,lowC_highA,,,,,,,,,,,,
cret07,lowC_highA,322.285714286,393.571428571,173.571428571,371.75,205.25,190.0,175.0,775.0,113.0,419.0,384.0,229.0
cret08,lowC_highA,341.777777778,529.518518519,222.037037037,,,,341.777777778,529.518518519,222.037037037,,,
cret09,lowC_highA,19.0,355.142857143,0.0,,,,19.0,355.142857143,0.0,,,
cret10,lowC_highA,203.0,313.461538462,174.615384615,412.75,137.25,136.75,102.0,441.142857143,117.0,137.0,219.0,452.0
cret11,lowC_highA,330.608695652,168.043478261,158.347826087,396.235294118,153.235294118,139.117647059,340.5,434.0,0.0,46.75,98.0,319.25
cret14,lowC_highA,394.181818182,279.318181818,207.818181818,400.1,279.6,224.05,335.0,276.5,45.5,,,
cret15,lowC_highA,458.4,348.033333333,206.533333333,587.65,266.3,266.05,199.9,511.5,87.5,,,
cret16,lowC_highA,519.0,86.8333333333,230.5,519.0,86.8333333333,230.5,,,,,,
cret17,lowC_highA,262.655172414,266.24137931,489.517241379,,,,,,,262.655172414,266.24137931,489.517241379
cret18,lowC_highA,556.142857143,182.5,138.107142857,556.142857143,182.5,138.107142857,,,,,,
cret19,lowC_highA,98.0,145.666666667,0.0,,,,98.0,145.666666667,0.0,,,
cret21,lowC_highA,328.714285714,342.714285714,342.142857143,289.0,155.333333333,79.6666666667,389.333333333,644.333333333,557.333333333,266.0,0.0,484.0
cret22,lowC_highA,369.055555556,285.166666667,435.5,351.888888889,158.333333333,307.555555556,,,,386.222222222,412.0,563.444444444
cret24,lowC_highA,490.684210526,197.368421053,174.052631579,506.888888889,208.333333333,183.722222222,,,,199.0,0.0,0.0
cret25,lowC_highA,367.740740741,60.8518518519,141.740740741,418.913043478,71.4347826087,54.3913043478,,,,73.5,0.0,644.0
cret26,lowC_highA,451.68,336.12,443.2,565.0625,247.5625,300.75,,,,250.111111111,493.555555556,696.444444444
cret27,lowC_highA,565.75,402.5,273.0,617.4,389.6,136.2,719.5,636.0,0.0,0.0,0.0,1503.0
cret28,lowC_highA,343.0,281.647058824,60.7647058824,380.285714286,236.357142857,73.7857142857,169.0,493.0,0.0,,,
cret29,lowC_highA,236.0,158.157894737,92.1052631579,234.928571429,149.071428571,115.785714286,398.333333333,136.666666667,0.0,0.0,254.0,64.5
cret30,lowC_highA,135.0,110.0,224.0,,,,0.0,0.0,489.0,202.5,165.0,91.5
cret33,lowC_highA,453.931034483,301.620689655,166.620689655,448.555555556,290.074074074,157.962962963,272.0,347.0,0.0,781.0,568.0,567.0
cret36,lowC_highA,174.777777778,300.555555556,591.888888889,0.0,0.0,299.0,238.25,420.75,300.5,168.692307692,286.692307692,704.076923077
cret37,lowC_highA,247.037037037,358.814814815,230.555555556,,,,225.555555556,412.777777778,217.333333333,290.0,250.888888889,257.0
cret38,lowC_highA,386.75,191.071428571,164.964285714,410.884615385,190.423076923,138.615384615,0.0,399.0,268.0,146.0,0.0,747.0
cret39,lowC_highA,808.0,808.518518519,574.851851852,792.166666667,781.166666667,568.041666667,934.666666667,1027.33333333,629.333333333,,,
cret03,lowC_lowA,147.333333333,605.0,296.666666667,,,,37.0,855.0,0.0,202.5,480.0,445.0
cret04,lowC_lowA,337.777777778,282.111111111,278.777777778,294.0,256.0,23.0,323.333333333,304.833333333,244.833333333,403.0,227.0,508.5
cret05,lowC_lowA,510.1,335.35,346.45,739.857142857,227.285714286,243.142857143,,,,386.384615385,393.538461538,402.076923077
