sub_id,trial_type,alc_avg_total_time,cig_avg_total_time,neu_avg_total_time,chose_alc_alc_avg_total_time,chose_alc_cig_avg_total_time,chose_alc_neu_avg_total_time,chose_cig_alc_avg_total_time,chose_cig_cig_avg_total_time,chose_cig_neu_avg_total_time,chose_neu_alc_avg_total_time,chose_neu_cig_avg_total_time,chose_neu_neu_avg_total_time
cret03,high_pref,297.272727273,173.939393939,150.515151515,389.210526316,76.7368421053,136.894736842,220.666666667,391.444444444,140.777777778,85.8,151.8,219.8
cret04,high_pref,412.539473684,153.368421053,70.6710526316,438.046875,139.953125,73.84375,263.545454545,245.363636364,58.6363636364,419.0,0.0,0.0
cret05,high_pref,368.414285714,200.128571429,131.242857143,381.553191489,140.042553191,94.1063829787,341.565217391,322.913043478,207.130434783,,,
cret06,high_pref,260.653846154,45.3205128205,13.4615384615,266.773333333,42.0533333333,14.0,107.666666667,127.0,0.0,,,
cret07,high_pref,453.50877193,369.350877193,278.350877193,633.545454545,323.0,208.227272727,351.80952381,526.523809524,266.380952381,323.142857143,206.428571429,406.5
cret08,high_pref,338.214285714,620.342857143,179.657142857,,,,336.710144928,616.797101449,166.797101449,442.0,865.0,1067.0
cret09,high_pref,51.6181818182,394.254545455,69.4545454545,,,,51.6181818182,394.254545455,69.4545454545,,,
cret10,high_pref,221.776119403,248.955223881,170.776119403,483.363636364,59.2272727273,162.363636364,112.733333333,475.166666667,67.1333333333,56.2,74.8,390.4
cret11,high_pref,223.419354839,190.048387097,83.2419354839,326.454545455,128.909090909,60.0303030303,152.5,370.5625,59.25,49.1538461538,123.076923077,171.692307692
cret14,high_pref,208.121212121,269.984848485,123.515151515,422.25,268.0,138.75,197.491803279,262.868852459,124.540983607,0.0,712.0,0.0
cret15,high_pref,508.2,473.266666667,215.186666667,568.553846154,414.153846154,218.784615385,115.9,857.5,191.8,,,
cret16,high_pref,611.576923077,232.076923077,183.807692308,653.318181818,175.863636364,154.318181818,397.666666667,387.333333333,351.0,335.0,1003.0,331.0
cret17,high_pref,253.101265823,309.632911392,485.367088608,,,,352.172413793,555.931034483,399.275862069,195.64,166.78,535.3
cret18,high_pref,460.453333333,349.266666667,107.866666667,678.028571429,205.8,101.085714286,270.075,474.8,113.8,,,
cret19,high_pref,166.46875,288.859375,189.859375,540.5,0.0,0.0,154.403225806,298.177419355,195.983870968,,,
cret21,high_pref,151.179487179,428.153846154,154.769230769,496.6,214.2,142.4,93.25,485.392857143,78.8571428571,133.666666667,339.333333333,519.333333333
cret22,high_pref,189.319148936,358.404255319,92.0212765957,454.25,156.875,142.75,104.027777778,407.805555556,58.1111111111,506.333333333,303.0,363.666666667
cret24,high_pref,379.675675676,375.891891892,165.756756757,1251.5,970.5,312.0,329.857142857,341.914285714,157.4,,,
cret25,high_pref,291.083333333,210.944444444,107.305555556,466.475,55.85,58.775,78.3076923077,458.269230769,113.692307692,43.8333333333,173.166666667,403.166666667
cret26,high_pref,547.428571429,451.142857143,251.571428571,830.53125,302.1875,227.84375,281.730769231,680.653846154,217.153846154,117.2,211.0,582.4
cret27,high_pref,225.823529412,233.882352941,225.098039216,379.333333333,62.8571428571,261.428571429,122.448275862,365.793103448,186.103448276,0.0,0.0,593.0
cret28,high_pref,253.390625,240.078125,71.09375,408.575757576,67.1818181818,65.4848484848,71.2,438.266666667,79.6333333333,598.0,0.0,0.0
cret29,high_pref,203.491803279,166.032786885,107.885245902,315.379310345,28.4827586207,129.655172414,73.0666666667,310.066666667,78.6333333333,537.5,0.0,231.0
cret30,high_pref,349.696969697,416.409090909,245.46969697,290.923076923,363.051282051,309.871794872,479.863636364,542.636363636,130.863636364,235.4,277.2,247.4
cret33,high_pref,479.960526316,370.065789474,285.447368421,500.711538462,245.923076923,251.384615385,403.285714286,670.666666667,301.238095238,657.0,417.666666667,765.333333333
cret36,high_pref,170.540540541,315.621621622,486.594594595,105.0,3337.0,350.0,503.65,904.0,366.2,46.0754716981,36.5849056604,534.603773585
