sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
1.0,1.0,alcohol,alcohol,1052.0,5.0,0.4
1.0,1.0,alcohol,cigarette,1052.0,5.0,0.2
1.0,1.0,alcohol,neutral,1052.0,5.0,0.4
2.0,1.0,alcohol,alcohol,1052.0,5.0,0.25
2.0,1.0,alcohol,cigarette,1052.0,5.0,0.25
2.0,1.0,alcohol,neutral,1052.0,5.0,0.5
3.0,1.0,alcohol,alcohol,1052.0,5.0,0.5
3.0,1.0,alcohol,cigarette,1052.0,5.0,0.25
3.0,1.0,alcohol,neutral,1052.0,5.0,0.25
4.0,1.0,alcohol,alcohol,1052.0,5.0,
4.0,1.0,alcohol,cigarette,1052.0,5.0,
4.0,1.0,alcohol,neutral,1052.0,5.0,
5.0,1.0,alcohol,alcohol,1052.0,5.0,0.375
5.0,1.0,alcohol,cigarette,1052.0,5.0,0.5
5.0,1.0,alcohol,neutral,1052.0,5.0,0.125
6.0,1.0,alcohol,alcohol,1052.0,5.0,
6.0,1.0,alcohol,cigarette,1052.0,5.0,
6.0,1.0,alcohol,neutral,1052.0,5.0,
7.0,1.0,alcohol,alcohol,1052.0,5.0,
7.0,1.0,alcohol,cigarette,1052.0,5.0,
7.0,1.0,alcohol,neutral,1052.0,5.0,
8.0,1.0,alcohol,alcohol,1052.0,5.0,0.0
8.0,1.0,alcohol,cigarette,1052.0,5.0,0.0
8.0,1.0,alcohol,neutral,1052.0,5.0,1.0
9.0,1.0,alcohol,alcohol,1052.0,5.0,1.0
9.0,1.0,alcohol,cigarette,1052.0,5.0,0.0
9.0,1.0,alcohol,neutral,1052.0,5.0,0.0
10.0,1.0,alcohol,alcohol,1052.0,5.0,
10.0,1.0,alcohol,cigarette,1052.0,5.0,
10.0,1.0,alcohol,neutral,1052.0,5.0,
11.0,1.0,alcohol,alcohol,1052.0,5.0,0.295454545455
11.0,1.0,alcohol,cigarette,1052.0,5.0,0.386363636364
11.0,1.0,alcohol,neutral,1052.0,5.0,0.318181818182
12.0,1.0,alcohol,alcohol,1052.0,5.0,0.454545454545
12.0,1.0,alcohol,cigarette,1052.0,5.0,0.363636363636
12.0,1.0,alcohol,neutral,1052.0,5.0,0.181818181818
13.0,1.0,alcohol,alcohol,1052.0,5.0,
13.0,1.0,alcohol,cigarette,1052.0,5.0,
13.0,1.0,alcohol,neutral,1052.0,5.0,
14.0,1.0,alcohol,alcohol,1052.0,5.0,0.25
14.0,1.0,alcohol,cigarette,1052.0,5.0,0.5
14.0,1.0,alcohol,neutral,1052.0,5.0,0.25
15.0,1.0,alcohol,alcohol,1052.0,5.0,
15.0,1.0,alcohol,cigarette,1052.0,5.0,
15.0,1.0,alcohol,neutral,1052.0,5.0,
16.0,1.0,alcohol,alcohol,1052.0,5.0,1.0
16.0,1.0,alcohol,cigarette,1052.0,5.0,0.0
16.0,1.0,alcohol,neutral,1052.0,5.0,0.0
17.0,1.0,alcohol,alcohol,1052.0,5.0,0.0
17.0,1.0,alcohol,cigarette,1052.0,5.0,0.0
17.0,1.0,alcohol,neutral,1052.0,5.0,1.0
18.0,1.0,alcohol,alcohol,1052.0,5.0,0.0
18.0,1.0,alcohol,cigarette,1052.0,5.0,0.5
18.0,1.0,alcohol,neutral,1052.0,5.0,0.5
19.0,1.0,alcohol,alcohol,1052.0,5.0,0.666666666667
19.0,1.0,alcohol,cigarette,1052.0,5.0,0.333333333333
19.0,1.0,alcohol,neutral,1052.0,5.0,0.0
20.0,1.0,alcohol,alcohol,1052.0,5.0,0.625
20.0,1.0,alcohol,cigarette,1052.0,5.0,0.1875
20.0,1.0,alcohol,neutral,1052.0,5.0,0.1875
21.0,1.0,alcohol,alcohol,1052.0,5.0,0.5
21.0,1.0,alcohol,cigarette,1052.0,5.0,0.0
21.0,1.0,alcohol,neutral,1052.0,5.0,0.5
22.0,1.0,alcohol,alcohol,1052.0,5.0,0.5
22.0,1.0,alcohol,cigarette,1052.0,5.0,0.5
22.0,1.0,alcohol,neutral,1052.0,5.0,0.0
23.0,1.0,alcohol,alcohol,1052.0,5.0,0.5
23.0,1.0,alcohol,cigarette,1052.0,5.0,0.0
23.0,1.0,alcohol,neutral,1052.0,5.0,0.5
24.0,1.0,alcohol,alcohol,1052.0,5.0,0.0833333333333
24.0,1.0,alcohol,cigarette,1052.0,5.0,0.416666666667
24.0,1.0,alcohol,neutral,1052.0,5.0,0.5
25.0,1.0,alcohol,alcohol,1052.0,5.0,0.294117647059
25.0,1.0,alcohol,cigarette,1052.0,5.0,0.235294117647
25.0,1.0,alcohol,neutral,1052.0,5.0,0.470588235294
26.0,1.0,alcohol,alcohol,1052.0,5.0,0.0
26.0,1.0,alcohol,cigarette,1052.0,5.0,1.0
26.0,1.0,alcohol,neutral,1052.0,5.0,0.0
27.0,1.0,alcohol,alcohol,1052.0,5.0,
27.0,1.0,alcohol,cigarette,1052.0,5.0,
27.0,1.0,alcohol,neutral,1052.0,5.0,
28.0,1.0,alcohol,alcohol,1052.0,5.0,0.111111111111
28.0,1.0,alcohol,cigarette,1052.0,5.0,0.444444444444
28.0,1.0,alcohol,neutral,1052.0,5.0,0.444444444444
29.0,1.0,alcohol,alcohol,1052.0,5.0,0.285714285714
29.0,1.0,alcohol,cigarette,1052.0,5.0,0.571428571429
29.0,1.0,alcohol,neutral,1052.0,5.0,0.142857142857
1.0,1.0,cigarette,alcohol,1052.0,2.0,0.5
1.0,1.0,cigarette,cigarette,1052.0,2.0,0.0
1.0,1.0,cigarette,neutral,1052.0,2.0,0.5
2.0,1.0,cigarette,alcohol,1052.0,2.0,1.0
2.0,1.0,cigarette,cigarette,1052.0,2.0,0.0
2.0,1.0,cigarette,neutral,1052.0,2.0,0.0
3.0,1.0,cigarette,alcohol,1052.0,2.0,0.0
3.0,1.0,cigarette,cigarette,1052.0,2.0,1.0
3.0,1.0,cigarette,neutral,1052.0,2.0,0.0
4.0,1.0,cigarette,alcohol,1052.0,2.0,
4.0,1.0,cigarette,cigarette,1052.0,2.0,
4.0,1.0,cigarette,neutral,1052.0,2.0,
5.0,1.0,cigarette,alcohol,1052.0,2.0,0.214285714286
5.0,1.0,cigarette,cigarette,1052.0,2.0,0.5
5.0,1.0,cigarette,neutral,1052.0,2.0,0.285714285714
6.0,1.0,cigarette,alcohol,1052.0,2.0,0.483870967742
6.0,1.0,cigarette,cigarette,1052.0,2.0,0.258064516129
