sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,cigarette,alcohol,757.0,3.0,1.0,0.333333333333
1.0,1.0,cigarette,cigarette,757.0,3.0,1.0,0.333333333333
1.0,1.0,cigarette,neutral,757.0,3.0,1.0,0.333333333333
2.0,1.0,cigarette,alcohol,757.0,1.0,0.0,0.0
2.0,1.0,cigarette,cigarette,757.0,1.0,1.0,1.0
2.0,1.0,cigarette,neutral,757.0,1.0,0.0,0.0
3.0,1.0,cigarette,alcohol,757.0,11.0,6.0,0.545454545455
3.0,1.0,cigarette,cigarette,757.0,11.0,3.0,0.272727272727
3.0,1.0,cigarette,neutral,757.0,11.0,2.0,0.181818181818
4.0,1.0,cigarette,alcohol,757.0,0.0,0.0,
4.0,1.0,cigarette,cigarette,757.0,0.0,0.0,
4.0,1.0,cigarette,neutral,757.0,0.0,0.0,
5.0,1.0,cigarette,alcohol,757.0,5.0,2.0,0.4
5.0,1.0,cigarette,cigarette,757.0,5.0,2.0,0.4
5.0,1.0,cigarette,neutral,757.0,5.0,1.0,0.2
6.0,1.0,cigarette,alcohol,757.0,29.0,10.0,0.344827586207
6.0,1.0,cigarette,cigarette,757.0,29.0,15.0,0.51724137931
6.0,1.0,cigarette,neutral,757.0,29.0,4.0,0.137931034483
7.0,1.0,cigarette,alcohol,757.0,1.0,0.0,0.0
7.0,1.0,cigarette,cigarette,757.0,1.0,1.0,1.0
7.0,1.0,cigarette,neutral,757.0,1.0,0.0,0.0
8.0,1.0,cigarette,alcohol,757.0,6.0,1.0,0.166666666667
8.0,1.0,cigarette,cigarette,757.0,6.0,3.0,0.5
8.0,1.0,cigarette,neutral,757.0,6.0,2.0,0.333333333333
9.0,1.0,cigarette,alcohol,757.0,3.0,0.0,0.0
9.0,1.0,cigarette,cigarette,757.0,3.0,2.0,0.666666666667
9.0,1.0,cigarette,neutral,757.0,3.0,1.0,0.333333333333
10.0,1.0,cigarette,alcohol,757.0,11.0,3.0,0.272727272727
10.0,1.0,cigarette,cigarette,757.0,11.0,7.0,0.636363636364
10.0,1.0,cigarette,neutral,757.0,11.0,1.0,0.0909090909091
11.0,1.0,cigarette,alcohol,757.0,9.0,1.0,0.111111111111
11.0,1.0,cigarette,cigarette,757.0,9.0,4.0,0.444444444444
11.0,1.0,cigarette,neutral,757.0,9.0,4.0,0.444444444444
12.0,1.0,cigarette,alcohol,757.0,1.0,0.0,0.0
12.0,1.0,cigarette,cigarette,757.0,1.0,1.0,1.0
12.0,1.0,cigarette,neutral,757.0,1.0,0.0,0.0
13.0,1.0,cigarette,alcohol,757.0,20.0,7.0,0.35
13.0,1.0,cigarette,cigarette,757.0,20.0,6.0,0.3
13.0,1.0,cigarette,neutral,757.0,20.0,7.0,0.35
14.0,1.0,cigarette,alcohol,757.0,18.0,4.0,0.222222222222
14.0,1.0,cigarette,cigarette,757.0,18.0,7.0,0.388888888889
14.0,1.0,cigarette,neutral,757.0,18.0,7.0,0.388888888889
15.0,1.0,cigarette,alcohol,757.0,0.0,0.0,
15.0,1.0,cigarette,cigarette,757.0,0.0,0.0,
15.0,1.0,cigarette,neutral,757.0,0.0,0.0,
16.0,1.0,cigarette,alcohol,757.0,6.0,1.0,0.166666666667
16.0,1.0,cigarette,cigarette,757.0,6.0,5.0,0.833333333333
16.0,1.0,cigarette,neutral,757.0,6.0,0.0,0.0
17.0,1.0,cigarette,alcohol,757.0,7.0,3.0,0.428571428571
17.0,1.0,cigarette,cigarette,757.0,7.0,2.0,0.285714285714
17.0,1.0,cigarette,neutral,757.0,7.0,2.0,0.285714285714
18.0,1.0,cigarette,alcohol,757.0,3.0,1.0,0.333333333333
