sub_id,trial_type,time_looking_at_pref,percentage_looking_at_pref,time_looking_at_alc,percentage_looking_at_alc,time_looking_at_cig,percentage_looking_at_cig,time_looking_at_neu,percentage_looking_at_neu,response_time,last_item_looked_at,last_category_looked_at,time_last_item_looked_at,selected_item,alcohol_pref,cig_pref
cret01,1.0,2448.0,0.821476510067,0.0,0.0,225.0,0.0755033557047,2448.0,0.821476510067,2981.2388821,waterglass,neutral,2979.0,waterglass,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,1662.0,0.898864250946,0.0,0.0,1848.89448464,americanspirit,cigarette,1848.0,waterbottle,heineken,newport
cret01,3.0,391.0,0.196285140562,1414.0,0.70983935743,0.0,0.0,391.0,0.196285140562,1991.60652547,waterbottle,neutral,1991.0,waterbottle,heineken,newport
cret01,1.0,815.0,0.764540337711,0.0,0.0,0.0,0.0,815.0,0.764540337711,1065.89179525,waterbottle,neutral,1065.0,waterbottle,heineken,newport
cret01,1.0,14.0,0.0121951219512,283.0,0.246515679443,0.0,0.0,14.0,0.0121951219512,1148.27560952,waterglass,neutral,737.0,waterglass,heineken,newport
cret01,1.0,825.0,0.794797687861,0.0,0.0,0.0,0.0,825.0,0.794797687861,1037.61860018,waterbottle,neutral,1037.0,waterbottle,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,1023.0,0.869158878505,0.0,0.0,1177.11594644,camelcrush,cigarette,1176.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.071152977,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.862258589,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,1191.0,0.565795724466,309.0,0.146793349169,383.0,0.181947743468,1191.0,0.565795724466,2104.43634236,selzter,neutral,2104.0,selzter,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3002.61844806,none,none,-1.0,selzter,heineken,newport
cret01,2.0,1181.0,0.394719251337,1154.0,0.385695187166,382.0,0.127673796791,1181.0,0.394719251337,2991.23382239,selzter,neutral,2991.0,selzter,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.827571504,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,546.0,0.753103448276,0.0,0.0,0.0,0.0,546.0,0.753103448276,724.972777904,waterglass,neutral,724.0,waterglass,heineken,newport
cret01,4.0,537.0,0.76604850214,0.0,0.0,0.0,0.0,537.0,0.76604850214,700.802809384,waterbottle,neutral,700.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,261.0,0.206978588422,0.0,0.0,0.0,0.0,1260.30865545,heineken,alcohol,1060.0,selzter,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.059314384,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,335.0,0.311049210771,0.0,0.0,554.0,0.514391829155,335.0,0.311049210771,1077.05986497,waterglass,neutral,1076.0,waterglass,heineken,newport
cret01,3.0,228.0,0.256179775281,0.0,0.0,470.0,0.52808988764,228.0,0.256179775281,890.045267102,waterglass,neutral,889.0,waterglass,heineken,newport
cret01,2.0,324.0,0.358011049724,105.0,0.116022099448,0.0,0.0,324.0,0.358011049724,904.888929399,waterglass,neutral,904.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.70610265,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,270.0,0.429252782194,0.0,0.0,0.0,0.0,270.0,0.429252782194,628.922561906,waterglass,neutral,472.0,waterglass,heineken,newport
cret01,3.0,210.0,0.267175572519,0.0,0.0,250.0,0.318066157761,210.0,0.267175572519,787.2143081,camelcrush,cigarette,778.0,selzter,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.340796087,none,none,-1.0,waterbottle,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.75603735,none,none,-1.0,waterglass,heineken,newport
cret01,3.0,646.0,0.667355371901,0.0,0.0,0.0,0.0,646.0,0.667355371901,968.458219922,waterglass,neutral,967.0,waterglass,heineken,newport
cret01,1.0,43.0,0.0684713375796,0.0,0.0,0.0,0.0,43.0,0.0684713375796,628.00609453,waterglass,neutral,408.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.881419235,none,none,-1.0,waterglass,heineken,newport
cret01,2.0,14.0,0.0161290322581,0.0,0.0,0.0,0.0,14.0,0.0161290322581,868.312643644,waterbottle,neutral,862.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.265049975,none,none,-1.0,waterglass,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,218.0,0.281290322581,0.0,0.0,773.550429525,camelcrush,cigarette,774.0,waterbottle,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,1305.0,0.875251509054,0.0,0.0,1490.40948062,newport,cigarette,1490.0,selzter,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.696564857,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.854214783,none,none,-1.0,selzter,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.042751363,none,none,-1.0,selzter,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.548020723,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.075599289,none,none,-1.0,waterbottle,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1849.12066734,none,none,-1.0,selzter,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.345095929,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.541387257,none,none,-1.0,waterglass,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.792720656,none,none,-1.0,selzter,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.84405088,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.912481293,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.706196883,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.274897295,none,none,-1.0,selzter,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.4493153,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.173254724,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.089804683,none,none,-1.0,selzter,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.089899978,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,288.0,0.467532467532,0.0,0.0,0.0,0.0,288.0,0.467532467532,615.39931283,waterbottle,neutral,512.0,waterbottle,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.502351273,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.936909535,none,none,-1.0,waterglass,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.013469519,none,none,-1.0,selzter,heineken,newport
cret01,2.0,242.0,0.0870503597122,496.0,0.178417266187,0.0,0.0,242.0,0.0870503597122,2779.68404509,waterglass,neutral,2779.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.81738219,none,none,-1.0,waterbottle,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.62596105,none,none,-1.0,selzter,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.578627848,none,none,-1.0,waterbottle,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.850091763,none,none,-1.0,waterglass,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.019799461,none,none,-1.0,waterbottle,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.7979879,none,none,-1.0,selzter,heineken,newport
cret01,3.0,163.0,0.153628652215,0.0,0.0,0.0,0.0,163.0,0.153628652215,1060.3877707,waterbottle,neutral,873.0,waterbottle,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.91930641,none,none,-1.0,selzter,heineken,newport
cret01,1.0,480.0,0.399334442596,250.0,0.207986688852,211.0,0.175540765391,480.0,0.399334442596,1202.37356672,selzter,neutral,1201.0,selzter,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517.43736341,none,none,-1.0,selzter,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.899469888,none,none,-1.0,waterbottle,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1313.98011513,none,none,-1.0,selzter,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.900670935,none,none,-1.0,waterglass,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1868.7117073,none,none,-1.0,waterbottle,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.73087218,none,none,-1.0,waterbottle,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.978046207,none,none,-1.0,selzter,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.784733674,none,none,-1.0,selzter,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.309882261,none,none,-1.0,waterglass,heineken,newport
cret01,2.0,372.0,0.603896103896,0.0,0.0,0.0,0.0,372.0,0.603896103896,615.957547576,waterbottle,neutral,615.0,waterbottle,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.335568372,none,none,-1.0,selzter,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.428347262,none,none,-1.0,waterglass,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.548947539,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.076910805,none,none,-1.0,selzter,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.299912472,none,none,-1.0,selzter,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.093603355,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.756518057,none,none,-1.0,waterglass,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.578427732,none,none,-1.0,selzter,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.29726579,none,none,-1.0,waterglass,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.819724285,none,none,-1.0,waterbottle,heineken,newport
