sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
1.0,3.0,alcohol,alcohol,794.0,4.0,0.75
1.0,3.0,alcohol,cigarette,794.0,4.0,0.0
1.0,3.0,alcohol,neutral,794.0,4.0,0.25
2.0,3.0,alcohol,alcohol,794.0,4.0,0.0
2.0,3.0,alcohol,cigarette,794.0,4.0,0.75
2.0,3.0,alcohol,neutral,794.0,4.0,0.25
3.0,3.0,alcohol,alcohol,794.0,4.0,0.166666666667
3.0,3.0,alcohol,cigarette,794.0,4.0,0.416666666667
3.0,3.0,alcohol,neutral,794.0,4.0,0.416666666667
4.0,3.0,alcohol,alcohol,794.0,4.0,
4.0,3.0,alcohol,cigarette,794.0,4.0,
4.0,3.0,alcohol,neutral,794.0,4.0,
5.0,3.0,alcohol,alcohol,794.0,4.0,0.25
5.0,3.0,alcohol,cigarette,794.0,4.0,0.666666666667
5.0,3.0,alcohol,neutral,794.0,4.0,0.0833333333333
6.0,3.0,alcohol,alcohol,794.0,4.0,
6.0,3.0,alcohol,cigarette,794.0,4.0,
6.0,3.0,alcohol,neutral,794.0,4.0,
7.0,3.0,alcohol,alcohol,794.0,4.0,
7.0,3.0,alcohol,cigarette,794.0,4.0,
7.0,3.0,alcohol,neutral,794.0,4.0,
8.0,3.0,alcohol,alcohol,794.0,4.0,0.0
8.0,3.0,alcohol,cigarette,794.0,4.0,0.0
8.0,3.0,alcohol,neutral,794.0,4.0,1.0
9.0,3.0,alcohol,alcohol,794.0,4.0,0.285714285714
9.0,3.0,alcohol,cigarette,794.0,4.0,0.428571428571
9.0,3.0,alcohol,neutral,794.0,4.0,0.285714285714
10.0,3.0,alcohol,alcohol,794.0,4.0,0.263157894737
10.0,3.0,alcohol,cigarette,794.0,4.0,0.578947368421
10.0,3.0,alcohol,neutral,794.0,4.0,0.157894736842
11.0,3.0,alcohol,alcohol,794.0,4.0,0.611111111111
11.0,3.0,alcohol,cigarette,794.0,4.0,0.222222222222
11.0,3.0,alcohol,neutral,794.0,4.0,0.166666666667
12.0,3.0,alcohol,alcohol,794.0,4.0,0.333333333333
12.0,3.0,alcohol,cigarette,794.0,4.0,0.166666666667
12.0,3.0,alcohol,neutral,794.0,4.0,0.5
13.0,3.0,alcohol,alcohol,794.0,4.0,
13.0,3.0,alcohol,cigarette,794.0,4.0,
13.0,3.0,alcohol,neutral,794.0,4.0,
14.0,3.0,alcohol,alcohol,794.0,4.0,0.565217391304
14.0,3.0,alcohol,cigarette,794.0,4.0,0.217391304348
14.0,3.0,alcohol,neutral,794.0,4.0,0.217391304348
15.0,3.0,alcohol,alcohol,794.0,4.0,
15.0,3.0,alcohol,cigarette,794.0,4.0,
15.0,3.0,alcohol,neutral,794.0,4.0,
16.0,3.0,alcohol,alcohol,794.0,4.0,0.0
16.0,3.0,alcohol,cigarette,794.0,4.0,1.0
16.0,3.0,alcohol,neutral,794.0,4.0,0.0
17.0,3.0,alcohol,alcohol,794.0,4.0,0.166666666667
17.0,3.0,alcohol,cigarette,794.0,4.0,0.166666666667
17.0,3.0,alcohol,neutral,794.0,4.0,0.666666666667
18.0,3.0,alcohol,alcohol,794.0,4.0,0.176470588235
18.0,3.0,alcohol,cigarette,794.0,4.0,0.529411764706
18.0,3.0,alcohol,neutral,794.0,4.0,0.294117647059
19.0,3.0,alcohol,alcohol,794.0,4.0,0.75
19.0,3.0,alcohol,cigarette,794.0,4.0,0.25
19.0,3.0,alcohol,neutral,794.0,4.0,0.0
20.0,3.0,alcohol,alcohol,794.0,4.0,0.384615384615
20.0,3.0,alcohol,cigarette,794.0,4.0,0.461538461538
20.0,3.0,alcohol,neutral,794.0,4.0,0.153846153846
21.0,3.0,alcohol,alcohol,794.0,4.0,0.666666666667
21.0,3.0,alcohol,cigarette,794.0,4.0,0.166666666667
21.0,3.0,alcohol,neutral,794.0,4.0,0.166666666667
22.0,3.0,alcohol,alcohol,794.0,4.0,0.285714285714
22.0,3.0,alcohol,cigarette,794.0,4.0,0.571428571429
