sub_id,trial_type,selected_item,looked_at_item,timepoint,mean_fix_likelihood
1.0,3.0,alcohol,alcohol,89.0,0.666666666667
1.0,3.0,alcohol,cigarette,89.0,0.166666666667
1.0,3.0,alcohol,neutral,89.0,0.166666666667
2.0,3.0,alcohol,alcohol,89.0,0.862068965517
2.0,3.0,alcohol,cigarette,89.0,0.103448275862
2.0,3.0,alcohol,neutral,89.0,0.0344827586207
3.0,3.0,alcohol,alcohol,89.0,0.41935483871
3.0,3.0,alcohol,cigarette,89.0,0.225806451613
3.0,3.0,alcohol,neutral,89.0,0.354838709677
4.0,3.0,alcohol,alcohol,89.0,
4.0,3.0,alcohol,cigarette,89.0,
4.0,3.0,alcohol,neutral,89.0,
5.0,3.0,alcohol,alcohol,89.0,0.588235294118
5.0,3.0,alcohol,cigarette,89.0,0.235294117647
5.0,3.0,alcohol,neutral,89.0,0.176470588235
6.0,3.0,alcohol,alcohol,89.0,
6.0,3.0,alcohol,cigarette,89.0,
6.0,3.0,alcohol,neutral,89.0,
7.0,3.0,alcohol,alcohol,89.0,
7.0,3.0,alcohol,cigarette,89.0,
7.0,3.0,alcohol,neutral,89.0,
8.0,3.0,alcohol,alcohol,89.0,0.833333333333
8.0,3.0,alcohol,cigarette,89.0,0.166666666667
8.0,3.0,alcohol,neutral,89.0,0.0
9.0,3.0,alcohol,alcohol,89.0,0.857142857143
9.0,3.0,alcohol,cigarette,89.0,0.0714285714286
9.0,3.0,alcohol,neutral,89.0,0.0714285714286
10.0,3.0,alcohol,alcohol,89.0,0.583333333333
10.0,3.0,alcohol,cigarette,89.0,0.0416666666667
10.0,3.0,alcohol,neutral,89.0,0.375
11.0,3.0,alcohol,alcohol,89.0,0.684210526316
11.0,3.0,alcohol,cigarette,89.0,0.210526315789
11.0,3.0,alcohol,neutral,89.0,0.105263157895
12.0,3.0,alcohol,alcohol,89.0,0.75
12.0,3.0,alcohol,cigarette,89.0,0.0
12.0,3.0,alcohol,neutral,89.0,0.25
13.0,3.0,alcohol,alcohol,89.0,
13.0,3.0,alcohol,cigarette,89.0,
13.0,3.0,alcohol,neutral,89.0,
14.0,3.0,alcohol,alcohol,89.0,0.793103448276
14.0,3.0,alcohol,cigarette,89.0,0.137931034483
14.0,3.0,alcohol,neutral,89.0,0.0689655172414
15.0,3.0,alcohol,alcohol,89.0,0.0
15.0,3.0,alcohol,cigarette,89.0,0.0
15.0,3.0,alcohol,neutral,89.0,1.0
16.0,3.0,alcohol,alcohol,89.0,0.75
16.0,3.0,alcohol,cigarette,89.0,0.25
16.0,3.0,alcohol,neutral,89.0,0.0
17.0,3.0,alcohol,alcohol,89.0,0.818181818182
17.0,3.0,alcohol,cigarette,89.0,0.0
17.0,3.0,alcohol,neutral,89.0,0.181818181818
18.0,3.0,alcohol,alcohol,89.0,0.521739130435
18.0,3.0,alcohol,cigarette,89.0,0.130434782609
18.0,3.0,alcohol,neutral,89.0,0.347826086957
19.0,3.0,alcohol,alcohol,89.0,1.0
19.0,3.0,alcohol,cigarette,89.0,0.0
19.0,3.0,alcohol,neutral,89.0,0.0
20.0,3.0,alcohol,alcohol,89.0,0.733333333333
20.0,3.0,alcohol,cigarette,89.0,0.0
20.0,3.0,alcohol,neutral,89.0,0.266666666667
21.0,3.0,alcohol,alcohol,89.0,0.7
21.0,3.0,alcohol,cigarette,89.0,0.0
21.0,3.0,alcohol,neutral,89.0,0.3
22.0,3.0,alcohol,alcohol,89.0,0.882352941176
22.0,3.0,alcohol,cigarette,89.0,0.117647058824
22.0,3.0,alcohol,neutral,89.0,0.0
23.0,3.0,alcohol,alcohol,89.0,0.466666666667
23.0,3.0,alcohol,cigarette,89.0,0.4
23.0,3.0,alcohol,neutral,89.0,0.133333333333
24.0,3.0,alcohol,alcohol,89.0,0.357142857143
24.0,3.0,alcohol,cigarette,89.0,0.214285714286
24.0,3.0,alcohol,neutral,89.0,0.428571428571
25.0,3.0,alcohol,alcohol,89.0,0.892857142857
25.0,3.0,alcohol,cigarette,89.0,0.0714285714286
25.0,3.0,alcohol,neutral,89.0,0.0357142857143
26.0,3.0,alcohol,alcohol,89.0,0.0
26.0,3.0,alcohol,cigarette,89.0,0.0
26.0,3.0,alcohol,neutral,89.0,1.0
27.0,3.0,alcohol,alcohol,89.0,
27.0,3.0,alcohol,cigarette,89.0,
27.0,3.0,alcohol,neutral,89.0,
28.0,3.0,alcohol,alcohol,89.0,0.444444444444
28.0,3.0,alcohol,cigarette,89.0,0.259259259259
28.0,3.0,alcohol,neutral,89.0,0.296296296296
29.0,3.0,alcohol,alcohol,89.0,0.777777777778
29.0,3.0,alcohol,cigarette,89.0,0.037037037037
29.0,3.0,alcohol,neutral,89.0,0.185185185185
1.0,3.0,cigarette,alcohol,89.0,
1.0,3.0,cigarette,cigarette,89.0,
1.0,3.0,cigarette,neutral,89.0,
2.0,3.0,cigarette,alcohol,89.0,
2.0,3.0,cigarette,cigarette,89.0,
2.0,3.0,cigarette,neutral,89.0,
3.0,3.0,cigarette,alcohol,89.0,
3.0,3.0,cigarette,cigarette,89.0,
3.0,3.0,cigarette,neutral,89.0,
4.0,3.0,cigarette,alcohol,89.0,
4.0,3.0,cigarette,cigarette,89.0,
4.0,3.0,cigarette,neutral,89.0,
5.0,3.0,cigarette,alcohol,89.0,0.142857142857
5.0,3.0,cigarette,cigarette,89.0,0.571428571429
5.0,3.0,cigarette,neutral,89.0,0.285714285714
6.0,3.0,cigarette,alcohol,89.0,0.0714285714286
6.0,3.0,cigarette,cigarette,89.0,0.785714285714
6.0,3.0,cigarette,neutral,89.0,0.142857142857
7.0,3.0,cigarette,alcohol,89.0,0.222222222222
7.0,3.0,cigarette,cigarette,89.0,0.555555555556
7.0,3.0,cigarette,neutral,89.0,0.222222222222
8.0,3.0,cigarette,alcohol,89.0,0.0833333333333
8.0,3.0,cigarette,cigarette,89.0,0.833333333333
8.0,3.0,cigarette,neutral,89.0,0.0833333333333
9.0,3.0,cigarette,alcohol,89.0,0.0
9.0,3.0,cigarette,cigarette,89.0,1.0
9.0,3.0,cigarette,neutral,89.0,0.0
10.0,3.0,cigarette,alcohol,89.0,0.0
10.0,3.0,cigarette,cigarette,89.0,0.5
10.0,3.0,cigarette,neutral,89.0,0.5
11.0,3.0,cigarette,alcohol,89.0,0.2
11.0,3.0,cigarette,cigarette,89.0,0.8
11.0,3.0,cigarette,neutral,89.0,0.0
12.0,3.0,cigarette,alcohol,89.0,
12.0,3.0,cigarette,cigarette,89.0,
12.0,3.0,cigarette,neutral,89.0,
13.0,3.0,cigarette,alcohol,89.0,
13.0,3.0,cigarette,cigarette,89.0,
13.0,3.0,cigarette,neutral,89.0,
14.0,3.0,cigarette,alcohol,89.0,
14.0,3.0,cigarette,cigarette,89.0,
14.0,3.0,cigarette,neutral,89.0,
15.0,3.0,cigarette,alcohol,89.0,0.315789473684
15.0,3.0,cigarette,cigarette,89.0,0.473684210526
15.0,3.0,cigarette,neutral,89.0,0.210526315789
16.0,3.0,cigarette,alcohol,89.0,0.142857142857
16.0,3.0,cigarette,cigarette,89.0,0.857142857143
16.0,3.0,cigarette,neutral,89.0,0.0
