sub_id,trial_type,selected_item,looked_at_item,timepoint,mean_fix_likelihood
1.0,4.0,alcohol,alcohol,268.0,0.0
1.0,4.0,alcohol,cigarette,268.0,1.0
1.0,4.0,alcohol,neutral,268.0,0.0
2.0,4.0,alcohol,alcohol,268.0,1.0
2.0,4.0,alcohol,cigarette,268.0,0.0
2.0,4.0,alcohol,neutral,268.0,0.0
3.0,4.0,alcohol,alcohol,268.0,0.857142857143
3.0,4.0,alcohol,cigarette,268.0,0.0
3.0,4.0,alcohol,neutral,268.0,0.142857142857
4.0,4.0,alcohol,alcohol,268.0,
4.0,4.0,alcohol,cigarette,268.0,
4.0,4.0,alcohol,neutral,268.0,
5.0,4.0,alcohol,alcohol,268.0,0.666666666667
5.0,4.0,alcohol,cigarette,268.0,0.111111111111
5.0,4.0,alcohol,neutral,268.0,0.222222222222
6.0,4.0,alcohol,alcohol,268.0,
6.0,4.0,alcohol,cigarette,268.0,
6.0,4.0,alcohol,neutral,268.0,
7.0,4.0,alcohol,alcohol,268.0,
7.0,4.0,alcohol,cigarette,268.0,
7.0,4.0,alcohol,neutral,268.0,
8.0,4.0,alcohol,alcohol,268.0,0.75
8.0,4.0,alcohol,cigarette,268.0,0.0833333333333
8.0,4.0,alcohol,neutral,268.0,0.166666666667
9.0,4.0,alcohol,alcohol,268.0,1.0
9.0,4.0,alcohol,cigarette,268.0,0.0
9.0,4.0,alcohol,neutral,268.0,0.0
10.0,4.0,alcohol,alcohol,268.0,0.769230769231
10.0,4.0,alcohol,cigarette,268.0,0.0
10.0,4.0,alcohol,neutral,268.0,0.230769230769
11.0,4.0,alcohol,alcohol,268.0,1.0
11.0,4.0,alcohol,cigarette,268.0,0.0
11.0,4.0,alcohol,neutral,268.0,0.0
12.0,4.0,alcohol,alcohol,268.0,
12.0,4.0,alcohol,cigarette,268.0,
12.0,4.0,alcohol,neutral,268.0,
13.0,4.0,alcohol,alcohol,268.0,
13.0,4.0,alcohol,cigarette,268.0,
13.0,4.0,alcohol,neutral,268.0,
14.0,4.0,alcohol,alcohol,268.0,0.5
14.0,4.0,alcohol,cigarette,268.0,0.111111111111
14.0,4.0,alcohol,neutral,268.0,0.388888888889
15.0,4.0,alcohol,alcohol,268.0,1.0
15.0,4.0,alcohol,cigarette,268.0,0.0
15.0,4.0,alcohol,neutral,268.0,0.0
16.0,4.0,alcohol,alcohol,268.0,1.0
16.0,4.0,alcohol,cigarette,268.0,0.0
16.0,4.0,alcohol,neutral,268.0,0.0
17.0,4.0,alcohol,alcohol,268.0,1.0
17.0,4.0,alcohol,cigarette,268.0,0.0
17.0,4.0,alcohol,neutral,268.0,0.0
18.0,4.0,alcohol,alcohol,268.0,0.888888888889
18.0,4.0,alcohol,cigarette,268.0,0.111111111111
18.0,4.0,alcohol,neutral,268.0,0.0
19.0,4.0,alcohol,alcohol,268.0,0.583333333333
19.0,4.0,alcohol,cigarette,268.0,0.25
19.0,4.0,alcohol,neutral,268.0,0.166666666667
20.0,4.0,alcohol,alcohol,268.0,0.714285714286
20.0,4.0,alcohol,cigarette,268.0,0.285714285714
20.0,4.0,alcohol,neutral,268.0,0.0
21.0,4.0,alcohol,alcohol,268.0,0.444444444444
21.0,4.0,alcohol,cigarette,268.0,0.444444444444
21.0,4.0,alcohol,neutral,268.0,0.111111111111
22.0,4.0,alcohol,alcohol,268.0,0.571428571429
22.0,4.0,alcohol,cigarette,268.0,0.285714285714
22.0,4.0,alcohol,neutral,268.0,0.142857142857
23.0,4.0,alcohol,alcohol,268.0,0.666666666667
23.0,4.0,alcohol,cigarette,268.0,0.111111111111
23.0,4.0,alcohol,neutral,268.0,0.222222222222
24.0,4.0,alcohol,alcohol,268.0,0.5
24.0,4.0,alcohol,cigarette,268.0,0.5
24.0,4.0,alcohol,neutral,268.0,0.0
25.0,4.0,alcohol,alcohol,268.0,0.6875
25.0,4.0,alcohol,cigarette,268.0,0.0
25.0,4.0,alcohol,neutral,268.0,0.3125
26.0,4.0,alcohol,alcohol,268.0,
26.0,4.0,alcohol,cigarette,268.0,
26.0,4.0,alcohol,neutral,268.0,
27.0,4.0,alcohol,alcohol,268.0,
27.0,4.0,alcohol,cigarette,268.0,
27.0,4.0,alcohol,neutral,268.0,
28.0,4.0,alcohol,alcohol,268.0,0.666666666667
28.0,4.0,alcohol,cigarette,268.0,0.333333333333
28.0,4.0,alcohol,neutral,268.0,0.0
29.0,4.0,alcohol,alcohol,268.0,1.0
29.0,4.0,alcohol,cigarette,268.0,0.0
29.0,4.0,alcohol,neutral,268.0,0.0
1.0,4.0,cigarette,alcohol,268.0,0.0
1.0,4.0,cigarette,cigarette,268.0,1.0
1.0,4.0,cigarette,neutral,268.0,0.0
2.0,4.0,cigarette,alcohol,268.0,0.545454545455
2.0,4.0,cigarette,cigarette,268.0,0.272727272727
2.0,4.0,cigarette,neutral,268.0,0.181818181818
3.0,4.0,cigarette,alcohol,268.0,
3.0,4.0,cigarette,cigarette,268.0,
3.0,4.0,cigarette,neutral,268.0,
4.0,4.0,cigarette,alcohol,268.0,
4.0,4.0,cigarette,cigarette,268.0,
4.0,4.0,cigarette,neutral,268.0,
5.0,4.0,cigarette,alcohol,268.0,0.285714285714
5.0,4.0,cigarette,cigarette,268.0,0.571428571429
5.0,4.0,cigarette,neutral,268.0,0.142857142857
6.0,4.0,cigarette,alcohol,268.0,0.0588235294118
6.0,4.0,cigarette,cigarette,268.0,0.941176470588
6.0,4.0,cigarette,neutral,268.0,0.0
7.0,4.0,cigarette,alcohol,268.0,0.0714285714286
7.0,4.0,cigarette,cigarette,268.0,0.928571428571
7.0,4.0,cigarette,neutral,268.0,0.0
8.0,4.0,cigarette,alcohol,268.0,0.5
8.0,4.0,cigarette,cigarette,268.0,0.5
8.0,4.0,cigarette,neutral,268.0,0.0
9.0,4.0,cigarette,alcohol,268.0,0.5
9.0,4.0,cigarette,cigarette,268.0,0.0
9.0,4.0,cigarette,neutral,268.0,0.5
10.0,4.0,cigarette,alcohol,268.0,0.0
10.0,4.0,cigarette,cigarette,268.0,0.5
10.0,4.0,cigarette,neutral,268.0,0.5
11.0,4.0,cigarette,alcohol,268.0,0.235294117647
11.0,4.0,cigarette,cigarette,268.0,0.352941176471
11.0,4.0,cigarette,neutral,268.0,0.411764705882
12.0,4.0,cigarette,alcohol,268.0,1.0
12.0,4.0,cigarette,cigarette,268.0,0.0
12.0,4.0,cigarette,neutral,268.0,0.0
13.0,4.0,cigarette,alcohol,268.0,
13.0,4.0,cigarette,cigarette,268.0,
13.0,4.0,cigarette,neutral,268.0,
14.0,4.0,cigarette,alcohol,268.0,0.0
14.0,4.0,cigarette,cigarette,268.0,1.0
14.0,4.0,cigarette,neutral,268.0,0.0
15.0,4.0,cigarette,alcohol,268.0,0.384615384615
15.0,4.0,cigarette,cigarette,268.0,0.615384615385
15.0,4.0,cigarette,neutral,268.0,0.0
16.0,4.0,cigarette,alcohol,268.0,0.0
16.0,4.0,cigarette,cigarette,268.0,1.0
16.0,4.0,cigarette,neutral,268.0,0.0
17.0,4.0,cigarette,alcohol,268.0,
17.0,4.0,cigarette,cigarette,268.0,
17.0,4.0,cigarette,neutral,268.0,
18.0,4.0,cigarette,alcohol,268.0,0.0
18.0,4.0,cigarette,cigarette,268.0,1.0
18.0,4.0,cigarette,neutral,268.0,0.0
19.0,4.0,cigarette,alcohol,268.0,
19.0,4.0,cigarette,cigarette,268.0,
19.0,4.0,cigarette,neutral,268.0,
20.0,4.0,cigarette,alcohol,268.0,0.166666666667
20.0,4.0,cigarette,cigarette,268.0,0.833333333333
20.0,4.0,cigarette,neutral,268.0,0.0
21.0,4.0,cigarette,alcohol,268.0,0.0
21.0,4.0,cigarette,cigarette,268.0,1.0
21.0,4.0,cigarette,neutral,268.0,0.0
22.0,4.0,cigarette,alcohol,268.0,0.25
22.0,4.0,cigarette,cigarette,268.0,0.75
22.0,4.0,cigarette,neutral,268.0,0.0
23.0,4.0,cigarette,alcohol,268.0,0.0
23.0,4.0,cigarette,cigarette,268.0,0.666666666667
23.0,4.0,cigarette,neutral,268.0,0.333333333333
24.0,4.0,cigarette,alcohol,268.0,0.428571428571
24.0,4.0,cigarette,cigarette,268.0,0.285714285714
24.0,4.0,cigarette,neutral,268.0,0.285714285714
25.0,4.0,cigarette,alcohol,268.0,
25.0,4.0,cigarette,cigarette,268.0,
25.0,4.0,cigarette,neutral,268.0,
26.0,4.0,cigarette,alcohol,268.0,
26.0,4.0,cigarette,cigarette,268.0,
26.0,4.0,cigarette,neutral,268.0,
27.0,4.0,cigarette,alcohol,268.0,0.5
27.0,4.0,cigarette,cigarette,268.0,0.142857142857
27.0,4.0,cigarette,neutral,268.0,0.357142857143
28.0,4.0,cigarette,alcohol,268.0,0.4
28.0,4.0,cigarette,cigarette,268.0,0.4
28.0,4.0,cigarette,neutral,268.0,0.2
29.0,4.0,cigarette,alcohol,268.0,0.0
29.0,4.0,cigarette,cigarette,268.0,1.0
29.0,4.0,cigarette,neutral,268.0,0.0
1.0,4.0,neutral,alcohol,268.0,0.5
1.0,4.0,neutral,cigarette,268.0,0.0
1.0,4.0,neutral,neutral,268.0,0.5
2.0,4.0,neutral,alcohol,268.0,0.25
2.0,4.0,neutral,cigarette,268.0,0.25
2.0,4.0,neutral,neutral,268.0,0.5
3.0,4.0,neutral,alcohol,268.0,0.153846153846
3.0,4.0,neutral,cigarette,268.0,0.307692307692
