sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,cigarette,alcohol,615.0,1.0,0.0,0.0
1.0,4.0,cigarette,cigarette,615.0,1.0,1.0,1.0
1.0,4.0,cigarette,neutral,615.0,1.0,0.0,0.0
2.0,4.0,cigarette,alcohol,615.0,10.0,3.0,0.3
2.0,4.0,cigarette,cigarette,615.0,10.0,3.0,0.3
2.0,4.0,cigarette,neutral,615.0,10.0,4.0,0.4
3.0,4.0,cigarette,alcohol,615.0,0.0,0.0,
3.0,4.0,cigarette,cigarette,615.0,0.0,0.0,
3.0,4.0,cigarette,neutral,615.0,0.0,0.0,
4.0,4.0,cigarette,alcohol,615.0,0.0,0.0,
4.0,4.0,cigarette,cigarette,615.0,0.0,0.0,
4.0,4.0,cigarette,neutral,615.0,0.0,0.0,
5.0,4.0,cigarette,alcohol,615.0,5.0,1.0,0.2
5.0,4.0,cigarette,cigarette,615.0,5.0,2.0,0.4
5.0,4.0,cigarette,neutral,615.0,5.0,2.0,0.4
6.0,4.0,cigarette,alcohol,615.0,11.0,1.0,0.0909090909091
6.0,4.0,cigarette,cigarette,615.0,11.0,8.0,0.727272727273
6.0,4.0,cigarette,neutral,615.0,11.0,2.0,0.181818181818
7.0,4.0,cigarette,alcohol,615.0,4.0,0.0,0.0
7.0,4.0,cigarette,cigarette,615.0,4.0,4.0,1.0
7.0,4.0,cigarette,neutral,615.0,4.0,0.0,0.0
8.0,4.0,cigarette,alcohol,615.0,1.0,0.0,0.0
8.0,4.0,cigarette,cigarette,615.0,1.0,1.0,1.0
8.0,4.0,cigarette,neutral,615.0,1.0,0.0,0.0
9.0,4.0,cigarette,alcohol,615.0,2.0,1.0,0.5
9.0,4.0,cigarette,cigarette,615.0,2.0,1.0,0.5
9.0,4.0,cigarette,neutral,615.0,2.0,0.0,0.0
10.0,4.0,cigarette,alcohol,615.0,1.0,1.0,1.0
10.0,4.0,cigarette,cigarette,615.0,1.0,0.0,0.0
10.0,4.0,cigarette,neutral,615.0,1.0,0.0,0.0
11.0,4.0,cigarette,alcohol,615.0,15.0,8.0,0.533333333333
11.0,4.0,cigarette,cigarette,615.0,15.0,3.0,0.2
11.0,4.0,cigarette,neutral,615.0,15.0,4.0,0.266666666667
12.0,4.0,cigarette,alcohol,615.0,0.0,0.0,
12.0,4.0,cigarette,cigarette,615.0,0.0,0.0,
12.0,4.0,cigarette,neutral,615.0,0.0,0.0,
13.0,4.0,cigarette,alcohol,615.0,0.0,0.0,
13.0,4.0,cigarette,cigarette,615.0,0.0,0.0,
13.0,4.0,cigarette,neutral,615.0,0.0,0.0,
14.0,4.0,cigarette,alcohol,615.0,0.0,0.0,
14.0,4.0,cigarette,cigarette,615.0,0.0,0.0,
14.0,4.0,cigarette,neutral,615.0,0.0,0.0,
15.0,4.0,cigarette,alcohol,615.0,8.0,2.0,0.25
15.0,4.0,cigarette,cigarette,615.0,8.0,5.0,0.625
15.0,4.0,cigarette,neutral,615.0,8.0,1.0,0.125
16.0,4.0,cigarette,alcohol,615.0,4.0,1.0,0.25
16.0,4.0,cigarette,cigarette,615.0,4.0,3.0,0.75
16.0,4.0,cigarette,neutral,615.0,4.0,0.0,0.0
17.0,4.0,cigarette,alcohol,615.0,0.0,0.0,
17.0,4.0,cigarette,cigarette,615.0,0.0,0.0,
17.0,4.0,cigarette,neutral,615.0,0.0,0.0,
18.0,4.0,cigarette,alcohol,615.0,1.0,0.0,0.0
18.0,4.0,cigarette,cigarette,615.0,1.0,1.0,1.0
18.0,4.0,cigarette,neutral,615.0,1.0,0.0,0.0
19.0,4.0,cigarette,alcohol,615.0,0.0,0.0,
19.0,4.0,cigarette,cigarette,615.0,0.0,0.0,
19.0,4.0,cigarette,neutral,615.0,0.0,0.0,
20.0,4.0,cigarette,alcohol,615.0,6.0,2.0,0.333333333333
20.0,4.0,cigarette,cigarette,615.0,6.0,3.0,0.5
20.0,4.0,cigarette,neutral,615.0,6.0,1.0,0.166666666667
21.0,4.0,cigarette,alcohol,615.0,0.0,0.0,
21.0,4.0,cigarette,cigarette,615.0,0.0,0.0,
21.0,4.0,cigarette,neutral,615.0,0.0,0.0,
22.0,4.0,cigarette,alcohol,615.0,4.0,1.0,0.25
22.0,4.0,cigarette,cigarette,615.0,4.0,3.0,0.75
22.0,4.0,cigarette,neutral,615.0,4.0,0.0,0.0
23.0,4.0,cigarette,alcohol,615.0,1.0,0.0,0.0
23.0,4.0,cigarette,cigarette,615.0,1.0,1.0,1.0
