,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret37,3,1,1,-1,1
2,cret37,3,2,1,80,0
3,cret37,3,3,1,80,0
4,cret37,3,4,1,105.0,0
5,cret37,3,5,1,80,0
6,cret37,3,6,1,80,0
7,cret37,3,7,1,100.0,0
8,cret37,3,8,1,90.0,0
9,cret37,3,9,1,80,0
10,cret37,3,10,1,80,0
11,cret37,3,11,1,80,0
12,cret37,3,12,1,80,0
13,cret37,3,13,1,115.0,0
14,cret37,3,14,1,85.0,0
15,cret37,3,15,1,80,0
16,cret37,3,16,1,80,0
17,cret37,3,17,1,80,0
18,cret37,3,18,1,80,0
19,cret37,3,19,1,80,0
20,cret37,3,20,1,80,0
21,cret37,3,21,1,80,0
22,cret37,3,22,1,80,0
23,cret37,3,23,1,85.0,0
24,cret37,3,24,1,80,0
25,cret37,3,25,1,95.0,0
26,cret37,3,26,1,85.0,0
27,cret37,3,27,1,80,0
28,cret37,3,28,1,95.0,0
29,cret37,3,29,1,100.0,0
30,cret37,3,30,1,110.0,0
31,cret37,3,31,1,110.0,0
32,cret37,3,32,1,80,0
33,cret37,3,33,1,80,0
34,cret37,3,34,1,100.0,0
35,cret37,3,35,1,80,0
36,cret37,3,36,1,80,0
37,cret37,3,37,1,80,0
38,cret37,3,38,1,105.0,0
39,cret37,3,39,1,80,0
40,cret37,3,40,1,85.0,0
